readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),mpow_r,mpow_y,mpow_b,mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-09-30 05:30:00,94.28,0.3221,233.02,0.4632,1.3898,236.3,234.92,227.84,404.83,399.28,406.55,403.54,0.0,1.3898,0.0,0,0.3221,0,0.0468,0,0.0468,0,0.3265,0,0.3265,0,0.9896,1,0.9896,1,50,110.49,50.69,0,1,2025-09-30 05:30:00,21.2,93.9,,0,0,,1
2025-09-30 05:30:45,94.28,0.3202,231.89,0.462,1.386,235.21,234.04,226.42,403.13,396.48,405.13,401.64,0.0,1.386,0.0,0,0.3202,0,0.0454,0,0.0454,0,0.3244,0,0.3244,0,0.9901,1,0.9901,1,50,110.49,50.69,0,1,2025-09-30 05:30:45,21.3,94.2,,0,0,,1
2025-09-30 05:31:30,94.28,0.3241,232.06,0.4644,1.3933,235.15,235.88,225.16,404.84,397.2,403.62,401.92,0.0,1.3933,0.0,0,0.3241,0,0.0478,0,0.0478,0,0.3287,0,0.3287,0,0.9892,1,0.9892,1,50,110.5,50.69,0,1,2025-09-30 05:31:30,21.3,94.5,,0,0,,1
2025-09-30 05:32:15,94.29,0.3235,232.27,0.4639,1.3919,235.37,235.78,225.67,403.98,397.61,405.09,402.24,0.0,1.3919,0.0,0,0.3235,0,0.0484,0,0.0484,0,0.3282,0,0.3282,0,0.989,1,0.989,1,50,110.5,50.7,0,1,2025-09-30 05:32:15,21.4,94.8,,0,0,,1
2025-09-30 05:33:00,94.29,0.3228,232.71,0.463,1.3891,235.67,235.76,226.71,404.95,398.04,406.01,402.97,0.0,1.3891,0.0,0,0.3228,0,0.0482,0,0.0482,0,0.3275,0,0.3275,0,0.989,1,0.989,1,50,110.5,50.7,0,1,2025-09-30 05:33:00,21.8,95.1,,0,0,,1
2025-09-30 05:33:45,94.3,0.3225,232.53,0.4632,1.3898,235.54,235.4,226.66,404.5,397.95,405.63,402.51,0.0,1.3898,0.0,0,0.3225,0,0.0484,0,0.0484,0,0.3272,0,0.3272,0,0.9889,1,0.9889,1,50,110.51,50.7,0,1,2025-09-30 05:33:45,21.9,95.5,,0,0,,1
2025-09-30 05:34:30,94.33,3.9114,230.92,7.2789,21.8367,234.21,234.09,224.47,401.21,395.49,402.96,399.85,7.0004,7.7401,7.0962,1.1808,1.5095,1.2211,3.1522,1.1365,0.9963,1.0193,5.0443,1.6396,1.8119,1.5929,0.7786,0.7204,0.8345,0.7676,50,110.55,50.72,1,1,2025-09-30 05:34:30,21.9,95.3,,1,0,,0
2025-09-30 05:35:36,94.42,3.9392,231.06,7.3023,21.9069,234.32,233.92,224.94,402,395.08,403.33,400.15,6.9901,7.7554,7.1614,1.187,1.5131,1.2392,3.1543,1.1275,1.0028,1.0239,5.0629,1.6379,1.8141,1.6109,0.7805,0.7257,0.8332,0.7697,50,110.67,50.8,1,1,2025-09-30 05:35:36,21.3,84.2,,1,0,,0
2025-09-30 05:36:21,94.47,3.9294,231.92,7.3055,21.9165,235.32,235.1,225.34,404.08,396.39,404.42,401.62,7.0343,7.8745,7.0077,1.1717,1.5439,1.2137,3.1899,1.1681,1.0155,1.0063,5.0857,1.6553,1.8513,1.5791,0.7763,0.7081,0.8354,0.7698,50,110.73,50.83,1,1,2025-09-30 05:36:21,21.2,79.6,,1,0,,0
2025-09-30 05:37:06,94.52,3.9133,231.72,7.2769,21.8309,235.08,234.03,226.05,402.74,396.42,404.69,401.32,7.0374,7.6209,7.1726,1.2053,1.4812,1.2268,3.1774,1.1324,0.9882,1.0568,5.0592,1.6544,1.7835,1.6214,0.7763,0.7287,0.8318,0.7576,50,110.79,50.87,1,1,2025-09-30 05:37:06,20.6,75.6,,1,0,,0
2025-09-30 05:37:51,94.56,0.3244,231.88,0.4679,1.4038,235.61,233.86,226.19,402.33,396.91,405.45,401.48,0.0,1.4038,0.0,0,0.3244,0,0.0437,0,0.0437,0,0.3283,0,0.3283,0,0.991,1,0.991,1,50,110.85,50.91,0,1,2025-09-30 05:37:51,20.4,73,,0,0,,1
2025-09-30 05:38:36,94.56,0.3262,232.33,0.4676,1.403,235.81,235.58,225.6,404.97,397.49,404.59,402.36,0.0,1.403,0.0,0,0.3262,0,0.0464,0,0.0464,0,0.3305,0,0.3305,0,0.99,1,0.99,1,50,110.85,50.91,0,1,2025-09-30 05:38:36,19.9,75.4,,0,0,,1
2025-09-30 05:39:21,94.57,0.3231,232.8,0.4648,1.3945,236.23,234.75,227.43,403.9,398.49,407.08,403.25,0.0,1.3945,0.0,0,0.3231,0,0.0459,0,0.0459,0,0.3274,0,0.3274,0,0.99,1,0.99,1,50,110.86,50.91,0,1,2025-09-30 05:39:21,19.8,79.7,,0,0,,1
2025-09-30 05:40:06,94.57,0.324,232.93,0.4647,1.3941,235.89,235.73,227.17,404.54,399.11,406.47,403.39,0.0,1.3941,0.0,0,0.324,0,0.0478,0,0.0478,0,0.3286,0,0.3286,0,0.9892,1,0.9892,1,50,110.86,50.91,0,1,2025-09-30 05:40:06,19.8,83.1,,0,0,,1
2025-09-30 05:40:51,94.57,0.3242,233.22,0.4647,1.3941,236.14,235.8,227.72,405.66,399.85,406.2,403.82,0.0,1.3941,0.0,0,0.3242,0,0.0475,0,0.0475,0,0.3287,0,0.3287,0,0.9894,1,0.9894,1,50,110.86,50.91,0,1,2025-09-30 05:40:51,19.8,85.5,,0,0,,1
2025-09-30 05:41:36,94.58,0.3244,232.75,0.4652,1.3957,235.86,235.71,226.69,403.98,398.8,406.38,402.9,0.0,1.3957,0.0,0,0.3244,0,0.0475,0,0.0475,0,0.329,0,0.329,0,0.9894,1,0.9894,1,50,110.87,50.91,0,1,2025-09-30 05:41:36,20.3,87.4,,0,0,,1
2025-09-30 05:42:42,94.59,0.3235,232.56,0.4648,1.3946,235.48,235.24,226.97,404.07,397.99,406.15,402.8,0.0,1.3946,0.0,0,0.3235,0,0.0476,0,0.0476,0,0.3281,0,0.3281,0,0.9893,1,0.9893,1,50,110.88,50.91,0,1,2025-09-30 05:42:42,20.5,90,,0,0,,1
2025-09-30 05:43:27,94.59,0.3247,233.27,0.465,1.3951,236.39,236.19,227.24,406.12,398.75,407.05,403.93,0.0,1.3951,0.0,0,0.3247,0,0.0488,0,0.0488,0,0.3295,0,0.3295,0,0.9889,1,0.9889,1,50,110.88,50.91,0,1,2025-09-30 05:43:27,20.5,90.8,,0,0,,1
2025-09-30 05:44:12,94.59,0.3265,233.66,0.4656,1.397,236.42,237.37,227.2,407.06,400.03,406.85,404.65,0.0,1.397,0.0,0,0.3265,0,0.0503,0,0.0503,0,0.3316,0,0.3316,0,0.9883,1,0.9883,1,50,110.88,50.91,0,1,2025-09-30 05:44:12,20.6,91.4,,0,0,,1
2025-09-30 05:44:57,94.6,0.3239,232.59,0.4646,1.394,235.84,235.72,226.23,404.21,397.95,406.18,402.58,0.0,1.394,0.0,0,0.3239,0,0.048,0,0.048,0,0.3286,0,0.3286,0,0.9892,1,0.9892,1,50,110.89,50.91,0,1,2025-09-30 05:44:57,21.1,92.2,,0,0,,1
2025-09-30 05:45:42,94.6,0.3238,232.63,0.4643,1.3931,236.25,235.77,225.88,405.03,397.87,405.69,402.97,0.0,1.3931,0.0,0,0.3238,0,0.0479,0,0.0479,0,0.3285,0,0.3285,0,0.9892,1,0.9892,1,50,110.89,50.91,0,1,2025-09-30 05:45:42,21.1,92.4,,0,0,,1
2025-09-30 05:46:27,94.61,0.3244,232.72,0.4644,1.3932,236.26,236.37,225.53,405.13,397.89,405.97,402.84,0.0,1.3932,0.0,0,0.3244,0,0.0494,0,0.0494,0,0.3293,0,0.3293,0,0.9886,1,0.9886,1,50,110.9,50.91,0,1,2025-09-30 05:46:27,21.2,92.6,,0,0,,1
2025-09-30 05:47:12,94.61,0.3236,233.29,0.4637,1.3912,236.81,236.08,226.99,405.78,398.85,407.37,404.09,0.0,1.3912,0.0,0,0.3236,0,0.0486,0,0.0486,0,0.3284,0,0.3284,0,0.9889,1,0.9889,1,50,110.9,50.91,0,1,2025-09-30 05:47:12,21.2,92.8,,0,0,,1
2025-09-30 05:47:57,94.61,0.3212,233.04,0.4621,1.3865,237.12,235.01,226.99,404.7,398.19,407.79,403.53,0.0,1.3865,0.0,0,0.3212,0,0.0477,0,0.0477,0,0.3258,0,0.3258,0,0.9891,1,0.9891,1,50,110.9,50.92,0,1,2025-09-30 05:47:57,21.3,93.1,,0,0,,1
2025-09-30 05:48:42,94.62,0.3246,232.88,0.4648,1.3945,236.48,236.2,225.98,405.51,398.59,405.81,403.3,0.0,1.3945,0.0,0,0.3246,0,0.0487,0,0.0487,0,0.3294,0,0.3294,0,0.9889,1,0.9889,1,50,110.91,50.92,0,1,2025-09-30 05:48:42,21.3,93.4,,0,0,,1
2025-09-30 05:49:27,94.62,0.3251,233.74,0.4649,1.3948,237.23,236.52,227.48,406.27,399.6,408.45,404.72,0.0,1.3948,0.0,0,0.3251,0,0.0488,0,0.0488,0,0.3299,0,0.3299,0,0.9889,1,0.9889,1,50,110.91,50.92,0,1,2025-09-30 05:49:27,21.4,93.6,,0,0,,1
2025-09-30 05:50:12,94.63,0.3236,233.02,0.4639,1.3917,236.76,235.88,226.43,405.59,398.35,406.67,403.52,0.0,1.3917,0.0,0,0.3236,0,0.0481,0,0.0481,0,0.3283,0,0.3283,0,0.9891,1,0.9891,1,50,110.92,50.92,0,1,2025-09-30 05:50:12,21.4,93.9,,0,0,,1
2025-09-30 05:50:57,94.63,0.3246,233.14,0.4645,1.3936,236.9,236.42,226.12,405.54,398.81,406.86,403.67,0.0,1.3936,0.0,0,0.3246,0,0.0493,0,0.0493,0,0.3295,0,0.3295,0,0.9886,1,0.9886,1,50,110.92,50.92,0,1,2025-09-30 05:50:57,21.4,94.1,,0,0,,1
2025-09-30 05:51:42,94.63,0.3242,233.3,0.464,1.3922,237.19,236.26,226.45,405.62,399.16,407.24,404.02,0.0,1.3922,0.0,0,0.3242,0,0.0486,0,0.0486,0,0.3289,0,0.3289,0,0.9889,1,0.9889,1,50,110.92,50.92,0,1,2025-09-30 05:51:42,21.9,94.3,,0,0,,1
2025-09-30 05:52:27,94.64,0.3274,234.07,0.4661,1.3983,237.39,237.81,227.03,408.22,400.65,407.25,405.37,0.0,1.3983,0.0,0,0.3274,0,0.0509,0,0.0509,0,0.3325,0,0.3325,0,0.9881,1,0.9881,1,50,110.93,50.92,0,1,2025-09-30 05:52:27,21.9,94.4,,0,0,,1
2025-09-30 05:53:12,94.64,0.3218,232.93,0.4629,1.3887,236.78,234.95,227.06,403.84,398.69,407.55,403.34,0.0,1.3887,0.0,0,0.3218,0,0.047,0,0.047,0,0.3263,0,0.3263,0,0.9894,1,0.9894,1,50,110.93,50.92,0,1,2025-09-30 05:53:12,21.9,94.5,,0,0,,1
2025-09-30 05:53:57,94.65,0.3243,233.39,0.4642,1.3927,236.85,236.18,227.15,405.26,399.58,407.66,403.99,0.0,1.3927,0.0,0,0.3243,0,0.0482,0,0.0482,0,0.3289,0,0.3289,0,0.9891,1,0.9891,1,50,110.94,50.92,0,1,2025-09-30 05:53:57,21.9,94.7,,0,0,,1
2025-09-30 05:54:42,94.68,3.9458,232.14,7.3308,21.9926,235.83,234.86,225.74,403.56,397.57,404.92,401.96,7.0075,7.7788,7.2063,1.1917,1.5113,1.2428,3.2118,1.1441,1.0211,1.0465,5.1063,1.6526,1.8269,1.6268,0.7755,0.7213,0.8285,0.7649,50,110.98,50.95,1,1,2025-09-30 05:54:42,21.9,94,,1,0,,0
2025-09-30 05:55:27,94.73,3.9589,233.46,7.3535,22.0606,236.75,235.92,227.72,405.53,400.33,407.07,404.31,6.9568,7.877,7.2268,1.1759,1.5219,1.261,3.2679,1.1524,1.0613,1.0542,5.1511,1.647,1.8583,1.6457,0.7711,0.7142,0.8202,0.7672,50,111.05,50.99,1,1,2025-09-30 05:55:27,21.8,86.9,,1,0,,0
2025-09-30 05:56:12,94.78,3.9528,233.65,7.3414,22.0243,236.9,235.86,228.21,405.45,400.47,407.99,404.66,6.9961,7.7545,7.2737,1.1957,1.4982,1.2589,3.2695,1.147,1.0438,1.0786,5.1463,1.6574,1.829,1.6599,0.7705,0.7216,0.8204,0.7593,50.1,111.11,51.03,1,1,2025-09-30 05:56:12,21.3,81.4,,1,0,,0
2025-09-30 05:56:57,94.83,3.9327,233.18,7.3141,21.9425,236.41,236.15,227,405.65,399.33,406.5,403.82,6.9059,7.8767,7.1599,1.158,1.5256,1.2491,3.2449,1.1499,1.0587,1.0363,5.118,1.6326,1.8601,1.6253,0.7713,0.7095,0.8215,0.7696,50,111.18,51.07,1,1,2025-09-30 05:56:57,21.1,77.4,,1,0,,0
2025-09-30 05:57:42,94.88,0.329,234.07,0.4708,1.4124,237.35,235.87,229,405.64,400.8,409.6,405.64,0.0,1.4124,0.0,0,0.329,0,0.0458,0,0.0458,0,0.3331,0,0.3331,0,0.9904,1,0.9904,1,50,111.24,51.11,0,1,2025-09-30 05:57:42,20.5,74.2,,0,0,,1
2025-09-30 05:58:27,94.88,0.3274,234.27,0.4681,1.4043,237.47,236.57,228.77,406.46,401.48,409.15,405.7,0.0,1.4043,0.0,0,0.3274,0,0.0477,0,0.0477,0,0.3322,0,0.3322,0,0.9895,1,0.9897,1,50.1,111.24,51.11,0,1,2025-09-30 05:58:27,20.4,76.3,,0,0,,1
2025-09-30 05:59:12,94.89,0.328,235.05,0.4673,1.4019,237.95,237.39,229.81,408.18,403.38,409.64,407.12,0.0,1.4019,0.0,0,0.328,0,0.0488,0,0.0488,0,0.3328,0,0.3328,0,0.9891,1,0.9891,1,50,111.25,51.11,0,1,2025-09-30 05:59:12,20.3,80.3,,0,0,,1
