readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-10-01 09:53:00,229.33,0.3049,235.2,0.4434,1.3303,235.45,234.27,235.89,407.38,407.06,407.7,407.4,0.0,1.3303,0.0,0.0,0.3049,0.0,0.0598,0,0.0598,0,0.3116,0,0.3116,0,0.9813,1,0.9813,1,50.2,313.64,196.78,0,1,2025-10-01 09:53:00,20.7,91.2,,0,0,,1
2025-10-01 09:53:45,229.33,0.3039,234.5,0.4425,1.3276,234.32,233.96,235.24,406.76,405.76,405.98,406.12,0.0,1.3276,0.0,0.0,0.3039,0.0,0.0594,0,0.0594,0,0.3106,0,0.3106,0,0.9814,1,0.9814,1,50.2,313.65,196.78,0,1,2025-10-01 09:53:45,20.7,91.4,,0,0,,1
2025-10-01 09:54:30,229.33,0.303,233.9,0.4418,1.3254,233.65,233.53,234.52,405.98,404.74,404.63,405.22,0.0,1.3254,0.0,0.0,0.303,0.0,0.0588,0,0.0588,0,0.3095,0,0.3095,0,0.9816,1,0.9816,1,50.2,313.65,196.78,0,1,2025-10-01 09:54:30,20.7,91.5,,0,0,,1
2025-10-01 09:55:15,229.34,0.3027,233.95,0.4416,1.325,233.82,233.33,234.7,405.9,404.63,405.08,405.32,0.0,1.325,0.0,0.0,0.3027,0.0,0.0587,0,0.0587,0,0.3092,0,0.3092,0,0.9816,1,0.9816,1,50.2,313.65,196.78,0,1,2025-10-01 09:55:15,20.7,91.6,,0,0,,1
2025-10-01 09:56:00,229.34,0.3022,233.74,0.4414,1.3243,233.68,233,234.55,405.32,404.25,404.98,404.85,0.0,1.3243,0.0,0.0,0.3022,0.0,0.0581,0,0.0581,0,0.3086,0,0.3086,0,0.982,1,0.982,1,50.2,313.66,196.78,0,1,2025-10-01 09:56:00,20.8,91.8,,0,0,,1
2025-10-01 09:56:45,229.35,0.3026,233.69,0.4419,1.3257,233.56,233.04,234.48,405.33,404.77,404.17,404.66,0.0,1.3257,0.0,0.0,0.3026,0.0,0.058,0,0.058,0,0.3089,0,0.3089,0,0.9821,1,0.9821,1,50.3,313.66,196.78,0,1,2025-10-01 09:56:45,20.8,91.9,,0,0,,1
2025-10-01 09:57:30,229.35,0.4065,242.76,0.5685,1.7056,243.87,241.05,243.36,51.88,51.27,102.99,68.37,0.0,1.7056,0.0,0.0,0.4065,0.0,0.0547,0,0.0547,0,0.4111,0,0.4111,0,0.991,1,0.991,1,49.2,313.67,196.78,0,1,2025-10-01 09:57:30,21.2,92.1,,0,0,,1
2025-10-01 09:58:15,229.35,0.3108,240.79,0.4459,1.3378,240.62,238.78,242.97,416.31,417.73,417.11,417.06,0.0,1.3378,0.0,0.0,0.3108,0.0,0.0689,0,0.0689,0,0.3194,0,0.3194,0,0.9762,1,0.9762,1,50,313.67,196.78,0,1,2025-10-01 09:58:15,21.2,92.1,,0,0,,1
2025-10-01 09:59:00,229.35,0.31,241.27,0.4451,1.3355,242.04,238.49,243.3,417.08,417.62,418.99,417.87,0.0,1.3355,0.0,0.0,0.31,0.0,0.0683,0,0.0683,0,0.3185,0,0.3185,0,0.9766,1,0.9766,1,50,313.67,196.78,0,1,2025-10-01 09:59:00,21.2,92.1,,0,0,,1
2025-10-01 09:59:45,229.36,0.3103,241.28,0.4454,1.3364,242.04,238.49,243.33,417.05,417.58,419.1,417.89,0.0,1.3364,0.0,0.0,0.3103,0.0,0.068,0,0.068,0,0.3187,0,0.3187,0,0.9768,1,0.9768,1,50,313.68,196.78,0,1,2025-10-01 09:59:45,21.3,92.2,,0,0,,1
2025-10-01 10:00:30,229.36,0.3107,241.28,0.4459,1.3378,242.08,238.46,243.3,417.12,418.28,418.29,417.9,0.0,1.3378,0.0,0.0,0.3107,0.0,0.0678,0,0.0678,0,0.319,0,0.319,0,0.9769,1,0.9769,1,50,313.68,196.78,0,1,2025-10-01 10:00:30,21.3,92.2,,0,0,,1
