readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-09-30 05:30:27,310.28,0.3603,247.17,0.5002,1.5008,245.14,244.67,251.7,429.25,426.67,428.21,428.05,0.0,0.0424,1.4584,0.0,0.001,0.3592,0.068,0,0,0.068,0.3775,0,0.0104,0.3671,0.9826,1,1,0.9825,50,408.01,253.29,0,1,2025-09-30 05:30:27,15.1,68.6,,0,0,,1
2025-09-30 05:31:12,310.29,0.3598,247.31,0.5003,1.5010000000000001,245.32,244.51,252.1,428.92,426.91,429.05,428.45,0.0,0.0416,1.4594,0.0,0.0,0.3598,0.0692,0,0,0.0692,0.3781,0,0.0102,0.3679,0.982,1,1,0.982,50,408.02,253.29,0,1,2025-09-30 05:31:12,15.1,72.4,,0,0,,1
2025-09-30 05:31:57,310.29,0.3602,247.04,0.4997,1.4992,245.19,244.05,251.89,428.9,426.37,428.19,428.02,0.0,0.0416,1.4576,0.0,0.0011,0.3591,0.0688,0,0,0.0688,0.3773,0,0.0102,0.3672,0.9822,1,1,0.9821,50,408.02,253.29,0,1,2025-09-30 05:31:57,15.6,75.2,,0,0,,1
2025-09-30 05:33:04,310.3,0.3588,246.89,0.4981,1.4943,245.23,243.52,251.94,428.21,425.55,428.96,427.67,0.0,0.0412,1.4531,0.0,0.001,0.3577,0.07,0,0,0.07,0.3761,0,0.01,0.3661,0.9814,1,1,0.9813,50,408.03,253.29,0,1,2025-09-30 05:33:04,15.8,79,,0,0,,1
2025-09-30 05:33:49,310.3,0.3597,247.32,0.499,1.4972,244.78,244.88,252.32,428.86,427.8,428.31,428.34,0.0,0.0424,1.4548,0.0,0.001,0.3587,0.0706,0,0,0.0706,0.3775,0,0.0104,0.3671,0.9812,1,1,0.9811,50,408.03,253.29,0,1,2025-09-30 05:33:49,15.9,80.2,,0,0,,1
2025-09-30 05:34:34,310.31,0.3603,247.26,0.4991,1.4973999999999998,245.64,243.66,252.48,429.01,425.78,429.78,428.16,0.0,0.0412,1.4562,0.0,0.001,0.3593,0.0704,0,0,0.0704,0.3777,0,0.01,0.3677,0.9814,1,1,0.9813,50,408.04,253.29,0,1,2025-09-30 05:34:34,16.4,81.3,,0,0,,1
2025-09-30 05:35:19,310.31,0.3587,246.95,0.499,1.4971,244.86,243.81,252.18,428.2,425.53,429.26,427.51,0.0,0.042,1.4551,0.0,0.0,0.3587,0.0698,0,0,0.0698,0.3772,0,0.0102,0.3669,0.9815,1,1,0.9815,50,408.04,253.29,0,1,2025-09-30 05:35:19,16.5,82.5,,0,0,,1
2025-09-30 05:36:04,310.32,0.359,247.17,0.4981,1.4945,244.76,244.64,252.12,429.36,427.7,427.05,428,0.0,0.042,1.4525,0.0,0.0011,0.3579,0.0696,0,0,0.0696,0.3765,0,0.0103,0.3662,0.9817,1,1,0.9816,50,408.05,253.29,0,1,2025-09-30 05:36:04,16.6,84.1,,0,0,,1
2025-09-30 05:36:49,310.32,0.3578,247.02,0.4982,1.4948000000000001,245.22,243.77,252.08,428.59,426.01,428.76,427.78,0.0,0.042,1.4528,0.0,0.0,0.3578,0.0705,0,0,0.0705,0.3765,0,0.0102,0.3662,0.9811,1,1,0.9811,50,408.05,253.29,0,1,2025-09-30 05:36:49,16.7,84.9,,0,0,,1
2025-09-30 05:37:34,310.33,0.3577,247.37,0.498,1.494,244.94,245.03,252.14,429.51,427.93,427.72,428.45,0.0,0.0424,1.4516,0.0,0.0,0.3577,0.0699,0,0,0.0699,0.3764,0,0.0104,0.366,0.9814,1,1,0.9814,50,408.06,253.29,0,1,2025-09-30 05:37:34,17.2,85.2,,0,0,,1
