readable_time,Active Energy (kWh),Total Active Power (kW),Avg L-N Voltage (V),Average Phase Current (A),L1-N Voltage (V),L2-N Voltage (V),L3-N Voltage (V),L1-L2 Voltage (V),L2-L3 Voltage (V),L3-L1 Voltage (V),Avg L-L Voltage (V),Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),Total Reactive Power (kVAR),Total Apparent Power (kVA),Avg Power Factor,L1 Power Factor,L2 Power Factor,L3 Power Factor,Avg Frequency (Hz),Apparent Energy (kVAh),Reactive Energy (kVARh),System Power Factor,Temperature (°C),Humidity (%),Door Status,df2_time,compressor_on,heater_on,door_status,fan_status
2025-09-23 15:33:31,685.0,2.58,229.1,5.2,234.65,231.55,221.1,403.74,392.04,394.88,396.97,5.89,4.23,5.48,2.42,3.56,0.72,0.7,0.74,0.73,50.0,0,935,0.73,-9.9,80.0,1,2025-09-23 15:33:31,1,0,1,0
2025-09-23 15:34:16,685.0,2.57,227.19,5.13,231.94,229.86,219.76,399.93,389.42,391.23,393.46,5.36,4.69,5.34,2.36,3.5,0.73,0.71,0.72,0.76,50.0,0,936,0.74,-9.3,79.1,1,2025-09-23 15:34:16,1,0,1,0
2025-09-23 15:35:01,685.0,2.57,226.96,5.15,231.81,229.6,219.47,399.59,388.56,390.57,392.83,5.73,4.19,5.54,2.33,3.49,0.73,0.71,0.74,0.74,50.0,0,936,0.74,-9.2,77.6,1,2025-09-23 15:35:01,1,0,1,0
2025-09-23 15:35:46,685.0,2.59,226.88,5.19,231.78,229.54,219.33,399.52,388.77,390.72,393.0,5.86,4.21,5.51,2.34,3.52,0.73,0.71,0.75,0.75,49.99,0,936,0.74,-9.2,76.9,1,2025-09-23 15:35:46,1,0,1,0
2025-09-23 15:36:31,685.0,2.59,228.53,5.16,234.44,230.54,220.61,402.78,390.87,394.13,395.93,5.43,4.66,5.41,2.42,3.54,0.73,0.7,0.73,0.75,49.98,0,936,0.73,-9.1,76.3,1,2025-09-23 15:36:31,1,0,1,0
2025-09-23 15:37:16,685.0,2.58,228.72,5.19,234.63,230.66,220.86,402.96,391.06,394.53,396.17,5.85,4.67,5.06,2.42,3.59,0.73,0.69,0.75,0.75,49.98,0,936,0.73,-8.5,76.2,1,2025-09-23 15:37:16,1,0,1,0
2025-09-23 15:38:01,685.0,2.61,226.97,5.17,231.72,229.48,219.72,399.41,389.05,391.0,393.16,5.39,4.49,5.64,2.35,3.52,0.74,0.72,0.73,0.75,49.98,0,936,0.74,-8.4,75.6,1,2025-09-23 15:38:01,1,0,1,0
2025-09-23 15:38:46,685.0,2.65,228.37,5.25,229.77,228.01,227.34,396.14,394.07,395.51,395.24,5.54,4.78,5.45,2.41,3.6,0.73,0.74,0.69,0.77,49.96,0,936,0.74,-8.4,75.4,1,2025-09-23 15:38:46,1,0,1,0
2025-09-23 15:39:31,685.0,2.62,227.82,5.22,229.31,227.41,226.75,395.76,393.62,395.3,394.89,5.2,4.61,5.85,2.4,3.56,0.73,0.75,0.67,0.76,49.99,0,936,0.74,-7.8,74.9,1,2025-09-23 15:39:31,1,0,1,0
2025-09-23 15:40:16,685.0,2.63,225.76,5.22,226.4,226.01,224.87,391.8,390.47,390.81,390.82,5.56,4.21,5.9,2.31,3.55,0.74,0.75,0.7,0.77,49.97,2,936,0.75,-7.7,74.3,1,2025-09-23 15:40:16,1,0,1,0
