start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 05:34:30,2025-09-30 05:37:51,0 days 00:03:21,21.9,20.4,21.25,0.23,4.119,20.255,4.917,5.106
2025-09-30 05:54:42,2025-09-30 05:57:42,0 days 00:03:00,21.9,20.5,21.525,0.2,4.0,20.406,5.101,5.142
2025-09-30 06:16:27,2025-09-30 06:20:12,0 days 00:03:45,22.0,20.4,21.42,0.22,3.52,20.348,5.781,5.128
2025-09-30 06:39:03,2025-09-30 06:41:18,0 days 00:02:15,21.8,20.5,21.4,0.14,3.733,20.337,5.447,5.126
2025-09-30 06:59:40,2025-09-30 07:02:40,0 days 00:03:00,21.9,20.5,21.4,0.18,3.6,20.337,5.649,5.126
2025-09-30 07:17:40,2025-09-30 07:21:25,0 days 00:03:45,21.9,20.4,21.36,0.23,3.68,20.315,5.52,5.121
2025-09-30 07:35:23,2025-09-30 07:39:08,0 days 00:03:45,21.9,20.4,21.4,0.21,3.36,20.337,6.053,5.126
2025-09-30 08:00:52,2025-09-30 08:03:52,0 days 00:03:00,22.0,20.6,21.625,0.19,3.8,20.461,5.384,5.155
2025-09-30 08:18:07,2025-09-30 08:21:07,0 days 00:03:00,21.9,20.5,21.425,0.19,3.8,20.351,5.356,5.129
2025-09-30 08:38:51,2025-09-30 08:42:36,0 days 00:03:45,22.0,20.5,21.62,0.22,3.52,20.458,5.812,5.154
2025-09-30 08:59:50,2025-09-30 09:03:35,0 days 00:03:45,22.0,20.5,21.625,0.22,3.52,20.461,5.813,5.155
2025-09-30 09:22:20,2025-09-30 09:25:20,0 days 00:03:00,22.0,20.6,21.7,0.2,4.0,20.502,5.125,5.165
2025-09-30 09:43:49,2025-09-30 09:47:34,0 days 00:03:45,22.0,20.5,21.42,0.21,3.36,20.348,6.056,5.128
2025-09-30 10:05:33,2025-09-30 10:09:18,0 days 00:03:45,22.0,20.5,21.62,0.23,3.68,20.458,5.559,5.154
2025-09-30 10:29:33,2025-09-30 10:33:18,0 days 00:03:45,22.0,20.5,21.66,0.2,3.2,20.48,6.4,5.159
