readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),mpow_r,mpow_y,mpow_b,mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-10-01 19:12:16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0,,,,0,,,,0,0,0,0,0,0,0,,,2025-10-01 19:12:16,21.9,79.3,1,0,0,1,0
2025-10-01 19:13:01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,0,,,,0,,,,0,0,0,0,0,0,0,,,2025-10-01 19:13:01,22.0,79.6,1,0,0,1,0
2025-10-01 19:14:00,5.02,3.1552,236.5,5.7748,17.3246,233.37,238.82,237.31,407.96,414.55,406.37,409.38,6.4927,5.5097,5.3222,1.288,1.0357,0.8315,2.544,0.7924,0.8058,0.9458,4.094,1.5152,1.3158,1.263,0.7784,0.8517,0.7892,0.6602,50.1,6.4,3.85,1,1,2025-10-01 19:14:00,22.0,79.2,1,1,0,1,0
2025-10-01 19:14:45,5.06,3.1821,236.74,5.8018,17.4055,233.52,238.84,237.86,408.53,415.11,406.5,410.04,6.5446,5.5139,5.347,1.298,1.0384,0.8458,2.5494,0.8008,0.8038,0.9448,4.1171,1.5283,1.3169,1.2718,0.7804,0.851,0.7907,0.6669,50.1,6.45,3.88,1,1,2025-10-01 19:14:45,22.2,78.4,1,1,0,1,0
2025-10-01 19:15:30,5.1,3.1357,236.45,5.7465,17.2396,233.2,238.48,237.67,408.14,414.43,406.06,409.51,6.5203,5.4095,5.3098,1.2823,1.0116,0.8418,2.5414,0.8113,0.7946,0.9356,4.0726,1.5205,1.2901,1.262,0.7768,0.845,0.7864,0.6688,50.1,6.5,3.91,1,1,2025-10-01 19:15:30,22.1,78.5,1,1,0,1,0
2025-10-01 19:16:15,5.15,3.048,236.42,5.6366,16.9099,233.15,238.57,237.56,407.74,414.85,405.92,409.42,6.3795,5.3062,5.2242,1.2501,0.9841,0.8138,2.5227,0.8005,0.7902,0.932,3.9943,1.4874,1.2659,1.2411,0.7703,0.8421,0.7797,0.6577,50.1,6.55,3.94,1,1,2025-10-01 19:16:15,22.2,77.7,1,1,0,1,0
2025-10-01 19:17:45,5.17,0.2839,237.37,0.4127,1.2382,234.32,239.35,238.45,409,416.65,407.75,411.23,1.2382,0.0,0.0,0.2827,0,0,0.0634,0.0634,0,0,0.2901,0.2901,0,0,0.9759,0.9757,1,1,50.1,6.59,3.97,0,1,2025-10-01 19:17:45,22.1,76.3,1,0,0,1,1
2025-10-01 19:18:30,5.17,0.2845,237.5,0.4131,1.2395,234.46,239.4,238.65,409.85,416.81,407.42,411.29,1.2395,0.0,0.0,0.2831,0,0,0.0636,0.0636,0,0,0.2906,0.2906,0,0,0.9758,0.9756,1,1,50.1,6.59,3.97,0,1,2025-10-01 19:18:30,22.1,75.9,1,0,0,1,1
2025-10-01 19:19:15,5.18,0.2833,237.52,0.4123,1.237,234.23,239.65,238.68,409.39,416.56,408.23,411.4,1.237,0.0,0.0,0.2822,0,0,0.0634,0.0634,0,0,0.2897,0.2897,0,0,0.9758,0.9756,1,1,50.1,6.6,3.97,0,1,2025-10-01 19:19:15,22.2,75.7,1,0,0,1,1
2025-10-01 19:20:00,5.18,0.2832,237.35,0.4118,1.2356,233.97,239.52,238.56,409.5,416.08,407.73,411.21,1.2356,0.0,0.0,0.2819,0,0,0.0634,0.0634,0,0,0.2891,0.2891,0,0,0.9758,0.9757,1,1,50.1,6.6,3.97,0,1,2025-10-01 19:20:00,22.1,75.3,1,0,0,1,1
