start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 05:49:35,2025-09-30 06:06:05,0 days 00:16:30,19.0,15.1,17.006,1.21,4.4,18.007,4.093,4.574
2025-09-30 06:26:20,2025-09-30 06:41:04,0 days 00:14:44,19.0,15.2,17.006,1.07,4.357,18.007,4.132,4.574
2025-09-30 06:59:02,2025-09-30 07:16:17,0 days 00:17:15,19.1,15.1,16.941,1.24,4.313,17.974,4.167,4.566
2025-09-30 07:36:38,2025-09-30 07:54:57,0 days 00:18:19,19.0,15.7,17.162,1.32,4.324,18.087,4.183,4.593
2025-09-30 08:13:42,2025-09-30 08:32:27,0 days 00:18:45,19.5,15.2,17.076,1.38,4.416,18.043,4.086,4.582
2025-09-30 08:52:46,2025-09-30 09:10:23,0 days 00:17:37,19.5,15.2,16.835,1.32,4.496,17.92,3.986,4.553
2025-09-30 09:32:08,2025-09-30 09:48:21,0 days 00:16:13,19.1,15.1,17.075,1.14,4.218,18.043,4.278,4.582
2025-09-30 10:06:22,2025-09-30 10:23:37,0 days 00:17:15,19.1,15.0,16.987,1.24,4.313,17.998,4.173,4.572
2025-09-30 10:46:14,2025-09-30 10:58:59,0 days 00:12:45,19.0,15.1,17.125,0.81,3.812,18.068,4.74,4.588
2025-09-30 11:21:51,2025-09-30 11:36:06,0 days 00:14:15,19.0,15.1,16.837,0.95,4.0,17.921,4.48,4.553
2025-09-30 11:58:21,2025-09-30 12:11:49,0 days 00:13:28,19.0,15.1,16.953,0.94,4.188,17.98,4.293,4.567
2025-09-30 12:34:19,2025-09-30 12:48:34,0 days 00:14:15,19.0,15.1,16.979,0.88,3.705,17.993,4.856,4.571
2025-09-30 13:09:38,2025-09-30 13:24:15,0 days 00:14:37,19.1,15.1,17.022,0.97,3.982,18.016,4.525,4.576
2025-09-30 13:46:00,2025-09-30 13:58:52,0 days 00:12:52,19.0,15.0,16.812,0.82,3.824,17.908,4.683,4.55
2025-09-30 14:18:43,2025-09-30 14:32:58,0 days 00:14:15,19.0,15.0,16.772,0.93,3.916,17.888,4.568,4.545
2025-09-30 14:54:43,2025-09-30 15:09:26,0 days 00:14:43,19.0,15.1,16.867,1.02,4.159,17.936,4.313,4.557
2025-09-30 15:31:10,2025-09-30 15:47:40,0 days 00:16:30,19.0,15.1,16.976,1.11,4.036,17.992,4.457,4.57
2025-09-30 16:07:39,2025-09-30 16:21:52,0 days 00:14:13,19.0,15.0,16.794,0.94,3.967,17.899,4.512,4.548
2025-09-30 16:42:52,2025-09-30 17:00:52,0 days 00:18:00,19.1,15.8,17.087,1.19,3.967,18.049,4.55,4.584
2025-09-30 17:21:12,2025-09-30 17:37:19,0 days 00:16:07,19.5,15.7,17.065,1.04,3.872,18.038,4.659,4.581
2025-09-30 17:56:49,2025-09-30 18:11:56,0 days 00:15:07,19.1,15.1,17.22,0.99,3.929,18.117,4.611,4.6
2025-09-30 18:30:59,2025-09-30 18:45:14,0 days 00:14:15,19.5,15.1,17.2,0.95,4.0,18.107,4.527,4.598
2025-09-30 19:06:14,2025-09-30 19:20:12,0 days 00:13:58,19.0,15.1,17.156,0.95,4.081,18.084,4.431,4.592
2025-09-30 19:40:24,2025-09-30 19:55:24,0 days 00:15:00,19.0,15.0,17.08,1.01,4.04,18.045,4.467,4.583
2025-09-30 20:15:46,2025-09-30 20:30:00,0 days 00:14:14,19.5,15.2,17.129,0.95,4.005,18.071,4.512,4.589
2025-09-30 20:51:21,2025-09-30 21:04:51,0 days 00:13:30,19.0,15.1,16.96,0.88,3.911,17.984,4.598,4.568
