start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 06:17:16,2025-09-30 06:33:53,0 days 00:16:37,19.0,16.7,18.055,0.84,3.033,18.549,6.116,4.703
2025-09-30 07:29:42,2025-09-30 07:41:25,0 days 00:11:43,19.7,17.4,18.8,0.63,3.226,18.94,5.871,4.795
2025-09-30 08:21:07,2025-09-30 08:30:52,0 days 00:09:45,19.5,17.5,18.7,0.49,3.015,18.887,6.264,4.783
2025-09-30 09:05:47,2025-09-30 09:17:02,0 days 00:11:15,19.1,17.4,18.46,0.59,3.147,18.761,5.962,4.753
2025-09-30 09:54:37,2025-09-30 10:04:44,0 days 00:10:07,19.1,17.4,18.55,0.54,3.203,18.808,5.873,4.764
2025-09-30 10:39:14,2025-09-30 10:50:57,0 days 00:11:43,19.0,17.2,18.247,0.62,3.175,18.649,5.874,4.726
2025-09-30 11:22:27,2025-09-30 11:33:42,0 days 00:11:15,19.5,17.4,18.725,0.61,3.253,18.9,5.81,4.786
2025-09-30 12:08:39,2025-09-30 12:19:54,0 days 00:11:15,19.0,17.4,18.486,0.64,3.413,18.775,5.5,4.756
2025-09-30 12:55:16,2025-09-30 13:04:58,0 days 00:09:42,19.0,17.4,18.467,0.58,3.588,18.765,5.23,4.754
2025-09-30 13:44:19,2025-09-30 13:52:34,0 days 00:08:15,19.1,18.0,18.655,0.43,3.127,18.863,6.032,4.777
2025-09-30 14:25:15,2025-09-30 14:35:45,0 days 00:10:30,19.0,17.3,18.4,0.56,3.2,18.73,5.853,4.746
2025-09-30 15:09:14,2025-09-30 15:18:57,0 days 00:09:43,19.1,17.4,18.583,0.57,3.52,18.826,5.349,4.768
2025-09-30 16:00:12,2025-09-30 16:03:19,0 days 00:03:07,19.0,18.9,19.0,0.18,3.465,19.045,5.496,4.82
2025-09-30 16:30:40,2025-09-30 16:41:10,0 days 00:10:30,19.1,17.4,18.464,0.59,3.371,18.763,5.565,4.753
2025-09-30 17:24:45,2025-09-30 17:34:52,0 days 00:10:07,19.1,17.4,18.5,0.56,3.321,18.782,5.655,4.758
2025-09-30 18:26:44,2025-09-30 18:36:50,0 days 00:10:06,19.5,17.4,18.609,0.53,3.149,18.839,5.984,4.772
2025-09-30 19:27:10,2025-09-30 19:35:46,0 days 00:08:36,19.5,17.5,18.638,0.47,3.279,18.854,5.75,4.775
2025-09-30 20:38:27,2025-09-30 20:48:12,0 days 00:09:45,19.6,17.4,18.633,0.48,2.954,18.852,6.382,4.775
2025-09-30 21:44:10,2025-09-30 21:53:10,0 days 00:09:00,19.5,17.5,18.757,0.45,3.0,18.917,6.306,4.79
2025-09-30 22:52:07,2025-09-30 23:01:07,0 days 00:09:00,19.5,17.5,18.683,0.46,3.067,18.878,6.156,4.781
2025-10-01 00:03:04,2025-10-01 00:12:04,0 days 00:09:00,19.5,17.9,18.783,0.47,3.133,18.931,6.042,4.793
2025-10-01 01:12:31,2025-10-01 01:21:31,0 days 00:09:00,19.5,17.4,18.7,0.44,2.933,18.887,6.439,4.783
2025-10-01 02:25:44,2025-10-01 02:34:44,0 days 00:09:00,19.5,17.5,18.725,0.44,2.933,18.9,6.443,4.786
2025-10-01 03:41:17,2025-10-01 03:49:53,0 days 00:08:36,19.6,17.5,18.673,0.43,3.0,18.873,6.291,4.779
2025-10-01 04:40:52,2025-10-01 04:49:36,0 days 00:08:44,19.1,17.4,18.44,0.43,2.954,18.751,6.347,4.75
2025-10-01 05:24:48,2025-10-01 05:35:18,0 days 00:10:30,19.5,17.3,18.523,0.5,2.857,18.794,6.578,4.761
2025-10-01 06:19:59,2025-10-01 06:29:44,0 days 00:09:45,19.6,17.5,18.773,0.5,3.077,18.925,6.151,4.792
2025-10-01 07:15:10,2025-10-01 07:23:25,0 days 00:08:15,19.6,18.1,18.918,0.4,2.909,19.002,6.532,4.81
2025-10-01 08:02:53,2025-10-01 08:14:06,0 days 00:11:13,19.1,17.3,18.525,0.55,2.942,18.795,6.388,4.761
2025-10-01 08:53:51,2025-10-01 10:00:14,0 days 01:06:23,19.1,17.4,18.65,7.07,6.39,18.861,2.952,4.777
2025-10-01 10:00:28,2025-10-01 10:07:58,0 days 00:07:30,18.9,17.4,18.19,0.36,2.88,18.62,6.465,4.719
2025-10-01 10:51:28,2025-10-01 11:01:58,0 days 00:10:30,19.5,17.4,18.55,0.58,3.314,18.808,5.675,4.764
2025-10-01 11:37:13,2025-10-01 11:49:13,0 days 00:12:00,19.0,17.3,18.371,0.65,3.25,18.715,5.758,4.742
