start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-10-01 19:14:00,2025-10-01 19:17:45,0 days 00:03:45,22.0,22.1,22.125,0.15,2.4,10.174,4.239,2.543
2025-10-01 19:23:45,2025-10-01 19:34:15,0 days 00:10:30,22.0,21.6,21.864,0.53,3.029,10.115,3.34,2.537
2025-10-01 19:40:15,2025-10-01 19:55:58,0 days 00:15:43,21.6,21.1,21.38,0.79,3.016,10.006,3.318,2.527
2025-10-01 19:58:13,2025-10-01 20:10:35,0 days 00:12:22,21.1,21.7,21.538,0.62,3.008,10.042,3.338,2.531
2025-10-01 20:17:20,2025-10-01 20:27:05,0 days 00:09:45,21.6,21.4,21.523,0.48,2.954,10.038,3.398,2.53
2025-10-01 20:33:50,2025-10-01 20:43:35,0 days 00:09:45,21.2,22.8,21.469,0.48,2.954,10.026,3.394,2.529
2025-10-01 20:46:35,2025-10-01 23:54:43,0 days 03:08:08,21.7,-12.4,-6.489,10.1,3.221,4.811,1.494,1.774
2025-10-02 00:26:58,2025-10-02 02:24:43,0 days 01:57:45,1.5,-18.3,-13.816,6.64,3.383,3.791,1.12,1.524
2025-10-02 02:29:58,2025-10-02 04:59:13,0 days 02:29:15,-17.1,-18.5,-13.779,8.25,3.317,3.796,1.144,1.525
2025-10-02 05:03:43,2025-10-02 05:19:28,0 days 00:15:45,-17.4,-18.6,-17.863,0.79,3.01,3.289,1.093,1.381
2025-10-02 05:23:58,2025-10-02 05:35:58,0 days 00:12:00,-17.5,-18.4,-17.667,0.62,3.1,3.312,1.068,1.388
2025-10-02 05:41:13,2025-10-02 05:50:58,0 days 00:09:45,-17.3,-18.3,-17.562,0.5,3.077,3.325,1.081,1.392
2025-10-02 05:56:13,2025-10-02 06:06:43,0 days 00:10:30,-17.2,-18.4,-17.623,0.51,2.914,3.318,1.138,1.39
2025-10-02 06:11:13,2025-10-02 06:22:28,0 days 00:11:15,-17.3,-18.5,-17.707,0.57,3.04,3.308,1.088,1.387
2025-10-02 06:58:28,2025-10-02 08:52:06,0 days 01:53:38,-2.5,-13.2,-12.845,6.56,3.464,3.918,1.131,1.558
2025-10-02 08:54:15,2025-10-02 08:54:20,0 days 00:00:05,-1.7,-11.6,-1.7,-11.47,-8258.4,5.556,-0.001,1.928
2025-10-02 08:55:50,2025-10-02 09:05:35,0 days 00:09:45,-11.5,-13.2,-11.427,0.46,2.831,4.108,1.451,1.607
2025-10-02 09:31:05,2025-10-02 12:03:15,0 days 02:32:10,-10.4,-8.8,-8.78,8.76,3.454,4.477,1.296,1.698
2025-10-02 12:06:15,2025-10-02 12:26:30,0 days 00:20:15,-5.9,-3.3,-4.221,1.13,3.348,5.156,1.54,1.848
2025-10-02 12:53:13,2025-10-02 13:02:17,0 days 00:09:04,-1.6,-0.1,-0.78,0.43,2.846,5.706,2.005,1.956
2025-10-02 13:23:17,2025-10-02 13:30:12,0 days 00:06:55,3.7,0.9,3.7,0.2,1.735,6.469,3.729,2.089
2025-10-02 13:30:57,2025-10-02 13:55:42,0 days 00:24:45,1.1,-3.5,-1.618,1.36,3.297,5.569,1.689,1.93
2025-10-03 01:35:03,2025-10-03 01:50:48,0 days 00:15:45,16.4,7.0,11.014,1.1,4.19,7.831,1.869,2.288
2025-10-03 01:53:48,2025-10-03 01:58:53,0 days 00:05:05,6.8,5.6,6.52,0.26,3.069,6.977,2.274,2.169
2025-10-03 10:09:26,2025-10-03 10:59:41,0 days 00:50:15,22.2,6.7,13.082,3.67,4.382,8.242,1.881,2.339
