readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-10-01 06:30:19,53.05,0.155,81.84,0.2291,0.6873,0,245.53,0,245.53,245.53,0,163.72,0,0.6873,0,0,0.155,0,0.0662,0,0.0662,0,0.1688,0,0.1688,0,0.9196,1,0.9196,1,50,55.49,14.07,0,1,2025-10-01 06:30:19,19.6,70.3,,0,0,,0
2025-10-01 06:31:04,53.05,0.1553,81.81,0.2294,0.6883,0,245.44,0,245.44,245.44,0,163.64,0,0.6883,0,0,0.1553,0,0.0659,0,0.0659,0,0.1689,0,0.1689,0,0.9206,1,0.9206,1,50,55.5,14.07,0,1,2025-10-01 06:31:04,19.6,70.9,,0,0,,0
2025-10-01 06:31:49,53.05,0.1551,81.77,0.2292,0.6877,0,245.31,0,245.31,245.31,0,163.56,0,0.6877,0,0,0.1551,0,0.0657,0,0.0657,0,0.1687,0,0.1687,0,0.9207,1,0.9207,1,50,55.5,14.07,0,1,2025-10-01 06:31:49,19.6,71.6,,0,0,,0
2025-10-01 06:32:34,53.06,0.1554,81.77,0.2294,0.6882,0,245.32,0,245.32,245.32,0,163.58,0,0.6882,0,0,0.1554,0,0.0655,0,0.0655,0,0.1688,0,0.1688,0,0.9213,1,0.9213,1,50.1,55.5,14.08,0,1,2025-10-01 06:32:34,19.6,72.4,,0,0,,0
2025-10-01 06:33:19,53.06,0.1551,81.72,0.2291,0.6874,0,245.18,0,245.18,245.18,0,163.4,0,0.6874,0,0,0.1551,0,0.0653,0,0.0653,0,0.1685,0,0.1685,0,0.9216,1,0.9216,1,50.1,55.5,14.08,0,1,2025-10-01 06:33:19,19.6,73.2,,0,0,,0
2025-10-01 06:34:04,53.06,0.1544,81.52,0.2286,0.686,0,244.57,0,244.57,244.57,0,163.04,0,0.686,0,0,0.1544,0,0.065,0,0.065,0,0.1678,0,0.1678,0,0.9217,1,0.9217,1,50,55.5,14.08,0,1,2025-10-01 06:34:04,19.6,74,,0,0,,0
2025-10-01 06:34:49,53.06,0.1545,81.44,0.2288,0.6865,0,244.34,0,244.34,244.34,0,162.9,0,0.6865,0,0,0.1545,0,0.0648,0,0.0648,0,0.1677,0,0.1677,0,0.9222,1,0.9222,1,50,55.51,14.08,0,1,2025-10-01 06:34:49,19.6,74.6,,0,0,,0
2025-10-01 06:35:34,53.06,0.1542,81.43,0.2284,0.6854,0,244.31,0,244.31,244.31,0,162.88,0,0.6854,0,0,0.1542,0,0.0647,0,0.0647,0,0.1675,0,0.1675,0,0.922,1,0.922,1,50,55.51,14.08,0,1,2025-10-01 06:35:34,19.7,75.3,,0,0,,0
2025-10-01 06:36:19,53.07,0.1544,81.46,0.2286,0.6859,0,244.39,0,244.39,244.39,0,162.89,0,0.6859,0,0,0.1544,0,0.0648,0,0.0648,0,0.1676,0,0.1676,0,0.9219,1,0.9219,1,50,55.51,14.08,0,1,2025-10-01 06:36:19,19.7,75.9,,0,0,,0
2025-10-01 06:37:04,53.07,0.154,81.43,0.2283,0.6849,0,244.3,0,244.3,244.3,0,162.82,0,0.6849,0,0,0.154,0,0.0648,0,0.0648,0,0.1673,0,0.1673,0,0.9216,1,0.9216,1,50,55.51,14.08,0,1,2025-10-01 06:37:04,19.7,76.5,,0,0,,0
2025-10-01 06:37:49,53.07,0.1546,81.45,0.2288,0.6866,0,244.37,0,244.37,244.37,0,162.9,0,0.6866,0,0,0.1546,0,0.0648,0,0.0648,0,0.1678,0,0.1678,0,0.9222,1,0.9222,1,50,55.51,14.08,0,1,2025-10-01 06:37:49,19.7,77,,0,0,,0
2025-10-01 06:38:34,53.07,0.154,81.39,0.2283,0.685,0,244.18,0,244.18,244.18,0,162.83,0,0.685,0,0,0.154,0,0.0646,0,0.0646,0,0.1673,0,0.1673,0,0.9222,1,0.9222,1,50,55.52,14.08,0,1,2025-10-01 06:38:34,19.8,77.5,,0,0,,0
2025-10-01 06:39:19,53.07,0.1541,81.43,0.2283,0.685,0,244.3,0,244.3,244.3,0,162.87,0,0.685,0,0,0.1541,0,0.0647,0,0.0647,0,0.1673,0,0.1673,0,0.922,1,0.922,1,50,55.52,14.08,0,1,2025-10-01 06:39:19,19.8,77.9,,0,0,,0
