start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 06:14:19,2025-09-30 06:18:04,0 days 00:03:45,19.8,18.2,19.5,0.19,3.04,19.311,6.352,4.883
2025-09-30 06:55:09,2025-09-30 06:59:39,0 days 00:04:30,19.8,18.2,19.3,0.22,2.933,19.204,6.547,4.858
2025-09-30 07:28:38,2025-09-30 07:31:59,0 days 00:03:21,19.7,18.3,19.167,0.2,3.582,19.134,5.341,4.841
2025-09-30 08:12:56,2025-09-30 08:17:26,0 days 00:04:30,19.8,18.2,19.283,0.23,3.067,19.195,6.259,4.856
2025-09-30 08:44:47,2025-09-30 08:49:17,0 days 00:04:30,19.7,18.1,19.133,0.24,3.2,19.116,5.974,4.837
2025-09-30 09:17:09,2025-09-30 09:20:54,0 days 00:03:45,19.7,18.2,19.32,0.23,3.68,19.215,5.221,4.861
2025-09-30 10:07:43,2025-09-30 10:12:20,0 days 00:04:37,20.3,18.2,19.5,0.3,3.899,19.311,4.953,4.883
2025-09-30 10:35:12,2025-09-30 10:38:57,0 days 00:03:45,19.6,18.1,19.0,0.19,3.04,19.045,6.265,4.82
2025-09-30 10:59:55,2025-09-30 11:04:25,0 days 00:04:30,19.7,18.1,19.133,0.26,3.467,19.116,5.514,4.837
2025-09-30 11:31:32,2025-09-30 11:36:02,0 days 00:04:30,19.7,18.2,19.267,0.27,3.6,19.187,5.33,4.854
2025-09-30 11:55:52,2025-09-30 12:00:22,0 days 00:04:30,19.7,18.2,19.267,0.28,3.733,19.187,5.139,4.854
2025-09-30 12:22:58,2025-09-30 12:28:13,0 days 00:05:15,19.7,18.1,19.067,0.3,3.429,19.081,5.565,4.829
2025-09-30 12:49:11,2025-09-30 12:54:49,0 days 00:05:38,19.7,18.1,19.214,0.31,3.302,19.159,5.803,4.847
2025-09-30 13:20:19,2025-09-30 13:24:11,0 days 00:03:52,19.8,18.2,19.34,0.27,4.19,19.226,4.589,4.863
2025-09-30 13:47:47,2025-09-30 13:51:54,0 days 00:04:07,19.7,18.1,19.15,0.25,3.644,19.125,5.249,4.839
2025-09-30 14:14:45,2025-09-30 14:19:15,0 days 00:04:30,19.7,18.1,19.167,0.25,3.333,19.134,5.74,4.841
2025-09-30 14:47:29,2025-09-30 14:51:14,0 days 00:03:45,19.7,18.2,19.32,0.24,3.84,19.215,5.004,4.861
2025-09-30 15:18:57,2025-09-30 15:23:27,0 days 00:04:30,19.8,18.2,19.3,0.28,3.733,19.204,5.144,4.858
2025-09-30 15:51:39,2025-09-30 15:56:09,0 days 00:04:30,19.7,18.1,19.183,0.24,3.2,19.142,5.982,4.843
2025-09-30 16:32:15,2025-09-30 16:36:45,0 days 00:04:30,20.3,18.2,19.5,0.26,3.467,19.311,5.57,4.883
2025-09-30 17:03:45,2025-09-30 17:08:37,0 days 00:04:52,19.7,18.1,19.317,0.25,3.082,19.213,6.234,4.86
2025-09-30 17:34:52,2025-09-30 17:38:44,0 days 00:03:52,19.7,18.2,19.32,0.22,3.414,19.215,5.629,4.861
2025-09-30 18:14:21,2025-09-30 18:18:51,0 days 00:04:30,19.8,18.1,19.3,0.23,3.067,19.204,6.262,4.858
2025-09-30 18:54:13,2025-09-30 18:57:58,0 days 00:03:45,19.7,18.2,19.3,0.21,3.36,19.204,5.716,4.858
2025-09-30 19:44:54,2025-09-30 19:48:39,0 days 00:03:45,19.8,18.3,19.38,0.21,3.36,19.247,5.728,4.868
2025-09-30 20:25:43,2025-09-30 20:29:28,0 days 00:03:45,19.7,18.3,19.38,0.21,3.36,19.247,5.728,4.868
2025-09-30 21:03:19,2025-09-30 21:07:04,0 days 00:03:45,19.7,18.2,19.3,0.2,3.2,19.204,6.001,4.858
2025-09-30 21:37:26,2025-09-30 21:41:11,0 days 00:03:45,19.7,18.3,19.38,0.22,3.52,19.247,5.468,4.868
2025-09-30 22:17:39,2025-09-30 22:21:47,0 days 00:04:08,19.8,18.1,19.14,0.22,3.194,19.119,5.987,4.838
2025-09-30 22:59:00,2025-09-30 23:03:30,0 days 00:04:30,19.7,18.2,19.367,0.24,3.2,19.24,6.012,4.866
2025-09-30 23:42:50,2025-09-30 23:46:35,0 days 00:03:45,19.7,18.2,19.22,0.2,3.2,19.162,5.988,4.848
2025-10-01 00:29:25,2025-10-01 00:32:46,0 days 00:03:21,19.8,18.2,19.475,0.2,3.582,19.297,5.387,4.88
2025-10-01 01:09:38,2025-10-01 01:12:38,0 days 00:03:00,19.7,18.2,19.25,0.16,3.2,19.178,5.993,4.852
2025-10-01 01:54:12,2025-10-01 01:58:42,0 days 00:04:30,19.8,18.1,19.283,0.22,2.933,19.195,6.544,4.856
2025-10-01 02:44:52,2025-10-01 02:47:52,0 days 00:03:00,19.7,18.2,19.167,0.16,3.2,19.134,5.979,4.841
2025-10-01 03:15:43,2025-10-01 03:20:13,0 days 00:04:30,19.7,18.1,19.2,0.24,3.2,19.151,5.985,4.845
2025-10-01 03:58:01,2025-10-01 04:01:46,0 days 00:03:45,19.7,18.2,19.32,0.19,3.04,19.215,6.321,4.861
2025-10-01 04:45:01,2025-10-01 04:48:02,0 days 00:03:01,19.8,18.8,19.5,0.19,3.779,19.311,5.11,4.883
2025-10-01 05:27:53,2025-10-01 05:32:44,0 days 00:04:51,20.3,18.1,19.533,0.25,3.093,19.328,6.25,4.887
2025-10-01 06:11:42,2025-10-01 06:14:49,0 days 00:03:07,19.7,18.2,19.4,0.2,3.85,19.257,5.002,4.871
2025-10-01 06:48:31,2025-10-01 06:52:38,0 days 00:04:07,19.8,18.2,19.22,0.25,3.644,19.162,5.259,4.848
2025-10-01 07:21:14,2025-10-01 07:24:14,0 days 00:03:00,19.6,18.2,19.1,0.18,3.6,19.098,5.305,4.833
2025-10-01 07:55:18,2025-10-01 09:47:06,0 days 01:51:48,19.8,18.2,19.283,0.26,0.14,19.195,137.567,4.856
2025-10-01 10:21:36,2025-10-01 10:26:06,0 days 00:04:30,19.8,18.2,19.3,0.25,3.333,19.204,5.761,4.858
2025-10-01 10:54:36,2025-10-01 10:58:21,0 days 00:03:45,19.7,18.2,19.3,0.22,3.52,19.204,5.456,4.858
2025-10-01 11:22:21,2025-10-01 11:26:51,0 days 00:04:30,19.7,18.2,19.283,0.27,3.6,19.195,5.332,4.856
2025-10-01 11:46:21,2025-10-01 11:51:36,0 days 00:05:15,19.7,18.1,19.1,0.32,3.657,19.098,5.222,4.833
2025-10-01 12:11:06,2025-10-01 12:15:36,0 days 00:04:30,19.7,18.2,19.283,0.28,3.733,19.195,5.142,4.856
2025-10-01 12:35:51,2025-10-01 12:40:21,0 days 00:04:30,19.7,18.1,19.133,0.26,3.467,19.116,5.514,4.837
2025-10-01 13:00:36,2025-10-01 13:05:51,0 days 00:05:15,19.7,18.1,19.229,0.32,3.657,19.166,5.241,4.849
2025-10-01 13:27:36,2025-10-01 13:32:06,0 days 00:04:30,19.7,18.1,19.15,0.27,3.6,19.125,5.312,4.839
2025-10-01 13:51:36,2025-10-01 13:56:51,0 days 00:05:15,19.7,18.1,19.214,0.31,3.543,19.159,5.408,4.847
2025-10-01 14:17:06,2025-10-01 14:22:21,0 days 00:05:15,19.7,18.1,19.129,0.3,3.429,19.113,5.575,4.836
2025-10-01 14:46:21,2025-10-01 14:50:06,0 days 00:03:45,19.7,18.3,19.34,0.24,3.84,19.226,5.007,4.863
2025-10-01 15:16:21,2025-10-01 15:20:51,0 days 00:04:30,19.7,18.1,19.267,0.26,3.467,19.187,5.535,4.854
2025-10-01 15:46:21,2025-10-01 15:50:51,0 days 00:04:30,19.7,18.2,19.3,0.27,3.6,19.204,5.335,4.858
2025-10-01 16:17:06,2025-10-01 16:21:36,0 days 00:04:30,19.7,18.1,19.167,0.27,3.6,19.134,5.315,4.841
2025-10-01 16:56:10,2025-10-01 17:01:25,0 days 00:05:15,20.3,18.1,19.314,0.31,3.543,19.212,5.423,4.86
2025-10-01 17:20:10,2025-10-01 17:24:40,0 days 00:04:30,19.7,18.2,19.075,0.28,3.733,19.085,5.112,4.83
2025-10-01 17:45:40,2025-10-01 17:50:10,0 days 00:04:30,19.7,18.1,19.08,0.27,3.6,19.088,5.302,4.83
2025-10-01 18:08:55,2025-10-01 18:13:25,0 days 00:04:30,19.7,18.1,19.15,0.28,3.733,19.125,5.123,4.839
2025-10-01 18:35:55,2025-10-01 18:41:10,0 days 00:05:15,19.7,18.1,19.22,0.29,3.314,19.162,5.782,4.848
2025-10-01 19:01:25,2025-10-01 19:06:40,0 days 00:05:15,19.7,18.1,19.2,0.3,3.429,19.151,5.586,4.845
2025-10-01 19:30:40,2025-10-01 19:35:10,0 days 00:04:30,19.7,18.2,19.2,0.27,3.6,19.151,5.32,4.845
2025-10-01 19:54:40,2025-10-01 19:59:55,0 days 00:05:15,19.7,18.1,19.129,0.29,3.314,19.113,5.767,4.836
2025-10-01 20:17:55,2025-10-01 20:23:10,0 days 00:05:15,19.6,18.1,19.114,0.31,3.543,19.106,5.393,4.835
2025-10-01 20:57:40,2025-10-01 21:01:25,0 days 00:03:45,19.7,18.2,19.3,0.22,3.52,19.204,5.456,4.858
2025-10-01 21:50:55,2025-10-01 21:55:25,0 days 00:04:30,19.8,18.2,19.433,0.26,3.467,19.275,5.56,4.875
2025-10-01 22:26:10,2025-10-01 22:29:55,0 days 00:03:45,19.7,18.2,19.22,0.22,3.52,19.162,5.444,4.848
2025-10-01 23:05:10,2025-10-01 23:08:55,0 days 00:03:45,19.7,18.2,19.22,0.21,3.36,19.162,5.703,4.848
2025-10-01 23:43:25,2025-10-01 23:47:55,0 days 00:04:30,19.8,18.1,19.217,0.24,3.2,19.16,5.988,4.848
2025-10-02 00:16:25,2025-10-02 00:20:55,0 days 00:04:30,19.7,18.1,19.15,0.24,3.2,19.125,5.976,4.839
2025-10-02 01:06:40,2025-10-02 01:11:55,0 days 00:05:15,20.3,18.1,19.371,0.29,3.314,19.242,5.806,4.867
2025-10-02 01:38:55,2025-10-02 01:43:25,0 days 00:04:30,19.7,18.2,19.267,0.26,3.467,19.187,5.535,4.854
2025-10-02 02:13:25,2025-10-02 02:17:55,0 days 00:04:30,19.7,18.1,19.167,0.24,3.2,19.134,5.979,4.841
2025-10-02 02:47:10,2025-10-02 02:51:40,0 days 00:04:30,19.8,18.1,19.283,0.23,3.067,19.195,6.259,4.856
2025-10-02 03:33:40,2025-10-02 03:37:25,0 days 00:03:45,19.8,18.2,19.36,0.22,3.52,19.236,5.465,4.866
2025-10-02 04:21:40,2025-10-02 04:26:55,0 days 00:05:15,19.9,18.1,19.286,0.27,3.086,19.197,6.221,4.856
2025-10-02 04:49:25,2025-10-02 04:53:55,0 days 00:04:30,19.7,18.1,19.283,0.24,3.2,19.195,5.999,4.856
