start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 05:43:13,2025-09-30 05:48:28,0 days 00:05:15,19.7,18.2,19.283,0.28,3.2,19.195,5.999,4.856
2025-09-30 06:32:50,2025-09-30 06:36:56,0 days 00:04:06,19.8,18.8,19.54,0.23,3.366,19.332,5.744,4.888
2025-09-30 07:15:56,2025-09-30 07:20:33,0 days 00:04:37,19.8,18.7,19.417,0.26,3.379,19.266,5.702,4.873
2025-09-30 07:59:55,2025-09-30 08:05:10,0 days 00:05:15,19.8,18.8,19.543,0.29,3.314,19.334,5.833,4.889
2025-09-30 08:43:53,2025-09-30 08:49:08,0 days 00:05:15,20.3,18.8,19.743,0.28,3.2,19.44,6.075,4.914
2025-09-30 09:22:08,2025-09-30 09:27:30,0 days 00:05:22,20.3,18.8,19.629,0.32,3.578,19.379,5.417,4.899
2025-09-30 10:01:36,2025-09-30 10:06:51,0 days 00:05:15,20.3,18.9,19.743,0.32,3.657,19.44,5.316,4.914
2025-09-30 10:42:12,2025-09-30 10:46:42,0 days 00:04:30,19.8,18.9,19.567,0.25,3.333,19.346,5.804,4.892
2025-09-30 11:18:34,2025-09-30 11:23:49,0 days 00:05:15,19.8,18.8,19.529,0.32,3.657,19.326,5.284,4.887
2025-09-30 11:56:30,2025-09-30 12:01:45,0 days 00:05:15,19.8,18.7,19.6,0.32,3.657,19.364,5.295,4.896
2025-09-30 12:33:15,2025-09-30 12:37:52,0 days 00:04:37,19.8,18.9,19.58,0.31,4.029,19.353,4.804,4.893
2025-09-30 13:05:12,2025-09-30 13:09:42,0 days 00:04:30,19.8,18.9,19.55,0.29,3.867,19.337,5.001,4.889
2025-09-30 13:40:34,2025-09-30 13:45:26,0 days 00:04:52,19.8,18.8,19.55,0.3,3.699,19.337,5.228,4.889
2025-09-30 14:13:55,2025-09-30 14:19:10,0 days 00:05:15,19.8,18.7,19.457,0.32,3.657,19.288,5.274,4.878
2025-09-30 14:47:02,2025-09-30 14:51:09,0 days 00:04:07,19.8,18.8,19.42,0.25,3.644,19.268,5.288,4.873
2025-09-30 15:19:38,2025-09-30 15:24:08,0 days 00:04:30,19.8,18.9,19.567,0.28,3.733,19.346,5.182,4.892
2025-09-30 15:50:30,2025-09-30 15:54:37,0 days 00:04:07,19.7,18.8,19.42,0.28,4.081,19.268,4.721,4.873
2025-09-30 16:24:35,2025-09-30 16:29:05,0 days 00:04:30,19.8,18.8,19.58,0.27,3.6,19.353,5.376,4.893
2025-09-30 17:02:55,2025-09-30 17:06:40,0 days 00:03:45,19.8,18.9,19.54,0.24,3.84,19.332,5.034,4.888
2025-09-30 17:44:32,2025-09-30 17:49:47,0 days 00:05:15,19.8,18.8,19.483,0.3,3.429,19.302,5.63,4.881
2025-09-30 18:24:46,2025-09-30 18:29:16,0 days 00:04:30,19.8,18.9,19.6,0.28,3.733,19.364,5.187,4.896
2025-09-30 19:07:59,2025-09-30 19:12:07,0 days 00:04:08,19.8,18.8,19.54,0.25,3.629,19.332,5.327,4.888
2025-09-30 19:52:14,2025-09-30 19:55:59,0 days 00:03:45,19.8,18.9,19.5,0.23,3.68,19.311,5.247,4.883
2025-09-30 20:39:10,2025-09-30 20:43:40,0 days 00:04:30,19.8,18.8,19.483,0.24,3.2,19.302,6.032,4.881
2025-09-30 21:26:09,2025-09-30 21:30:39,0 days 00:04:30,19.8,18.9,19.633,0.27,3.6,19.382,5.384,4.9
2025-09-30 22:13:08,2025-09-30 22:16:53,0 days 00:03:45,19.8,18.9,19.525,0.21,3.36,19.324,5.751,4.886
2025-09-30 22:57:21,2025-09-30 23:01:51,0 days 00:04:30,19.8,18.9,19.567,0.25,3.333,19.346,5.804,4.892
2025-09-30 23:40:33,2025-09-30 23:45:03,0 days 00:04:30,19.8,18.9,19.583,0.26,3.467,19.355,5.583,4.894
2025-10-01 00:27:09,2025-10-01 00:31:40,0 days 00:04:31,19.8,18.7,19.68,0.25,3.321,19.407,5.844,4.906
2025-10-01 01:14:46,2025-10-01 01:18:38,0 days 00:03:52,19.8,18.9,19.58,0.24,3.724,19.353,5.197,4.893
2025-10-01 02:01:42,2025-10-01 02:06:12,0 days 00:04:30,19.8,18.8,19.42,0.23,3.067,19.268,6.283,4.873
2025-10-01 02:48:38,2025-10-01 02:53:08,0 days 00:04:30,19.8,18.9,19.65,0.25,3.333,19.391,5.817,4.902
2025-10-01 03:34:07,2025-10-01 03:38:15,0 days 00:04:08,19.8,18.8,19.56,0.26,3.774,19.343,5.125,4.891
2025-10-01 04:09:22,2025-10-01 04:14:37,0 days 00:05:15,19.7,18.2,19.229,0.27,3.086,19.166,6.211,4.849
2025-10-01 04:44:43,2025-10-01 04:48:50,0 days 00:04:07,19.7,18.8,19.48,0.25,3.644,19.3,5.297,4.881
2025-10-01 05:30:12,2025-10-01 05:34:43,0 days 00:04:31,19.8,18.8,19.417,0.22,2.923,19.266,6.592,4.873
2025-10-01 06:10:19,2025-10-01 06:14:49,0 days 00:04:30,19.7,18.7,19.36,0.23,3.067,19.236,6.273,4.866
2025-10-01 06:55:46,2025-10-01 07:00:16,0 days 00:04:30,19.8,18.8,19.58,0.23,3.067,19.353,6.311,4.893
2025-10-01 07:40:53,2025-10-01 07:45:44,0 days 00:04:51,19.8,18.8,19.5,0.28,3.464,19.311,5.575,4.883
2025-10-01 08:23:12,2025-10-01 08:28:27,0 days 00:05:15,19.9,18.8,19.65,0.3,3.429,19.391,5.656,4.902
2025-10-01 09:56:03,2025-10-01 10:00:33,0 days 00:04:30,19.8,18.9,19.6,0.27,3.6,19.364,5.379,4.896
2025-10-01 10:33:33,2025-10-01 10:38:48,0 days 00:05:15,19.8,18.9,19.7,0.34,3.886,19.417,4.997,4.908
2025-10-01 11:10:18,2025-10-01 11:15:33,0 days 00:05:15,19.8,18.8,19.486,0.31,3.543,19.303,5.448,4.881
2025-10-01 11:45:33,2025-10-01 11:50:48,0 days 00:05:15,19.8,18.8,19.543,0.31,3.543,19.334,5.457,4.889
2025-10-01 12:21:33,2025-10-01 12:26:48,0 days 00:05:15,19.8,18.8,19.6,0.31,3.543,19.364,5.466,4.896
2025-10-01 12:55:18,2025-10-01 13:00:33,0 days 00:05:15,19.8,18.9,19.58,0.34,3.886,19.353,4.981,4.893
2025-10-01 13:30:33,2025-10-01 13:35:48,0 days 00:05:15,19.8,18.8,19.6,0.34,3.886,19.364,4.983,4.896
2025-10-01 14:05:03,2025-10-01 14:10:18,0 days 00:05:15,19.8,18.8,19.583,0.34,3.886,19.355,4.981,4.894
2025-10-01 14:40:18,2025-10-01 14:45:33,0 days 00:05:15,19.8,18.9,19.6,0.34,3.886,19.364,4.983,4.896
2025-10-01 15:17:03,2025-10-01 15:22:18,0 days 00:05:15,19.8,18.8,19.471,0.31,3.543,19.295,5.446,4.88
