start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 05:50:44,2025-09-30 06:18:06,0 days 00:27:22,18.3,15.3,16.639,1.61,3.53,17.82,5.048,4.529
2025-09-30 06:29:21,2025-09-30 06:57:33,0 days 00:28:12,18.1,15.2,16.518,1.78,3.787,17.758,4.689,4.515
2025-09-30 07:08:47,2025-09-30 07:53:07,0 days 00:44:20,18.1,15.3,16.911,2.75,3.722,17.959,4.825,4.562
2025-09-30 08:06:59,2025-09-30 08:30:14,0 days 00:23:15,18.3,15.3,16.576,1.41,3.639,17.788,4.888,4.522
2025-09-30 08:43:51,2025-09-30 09:06:42,0 days 00:22:51,18.3,15.4,16.578,1.49,3.912,17.789,4.547,4.522
2025-09-30 09:20:12,2025-09-30 09:55:10,0 days 00:34:58,18.3,15.2,16.338,2.25,3.861,17.667,4.576,4.493
2025-09-30 10:08:38,2025-09-30 10:34:08,0 days 00:25:30,18.4,15.4,16.579,1.49,3.506,17.789,5.074,4.522
2025-09-30 10:45:23,2025-09-30 11:03:28,0 days 00:18:05,18.2,15.2,16.514,0.99,3.285,17.756,5.406,4.514
2025-09-30 11:16:34,2025-09-30 11:34:34,0 days 00:18:00,18.4,15.3,16.77,0.92,3.067,17.886,5.833,4.545
2025-09-30 11:48:04,2025-09-30 11:59:48,0 days 00:11:44,18.2,15.6,17.127,0.66,3.375,18.069,5.354,4.589
2025-09-30 12:13:17,2025-09-30 12:26:47,0 days 00:13:30,18.2,15.4,16.938,0.75,3.333,17.972,5.392,4.566
2025-09-30 12:40:17,2025-09-30 12:54:39,0 days 00:14:22,18.3,15.4,16.926,0.8,3.341,17.967,5.377,4.564
2025-09-30 13:06:17,2025-09-30 13:24:14,0 days 00:17:57,18.2,15.4,16.521,1.01,3.376,17.76,5.261,4.515
2025-09-30 13:37:44,2025-09-30 13:54:59,0 days 00:17:15,18.3,15.4,16.885,0.94,3.27,17.945,5.489,4.559
2025-09-30 14:08:57,2025-09-30 14:35:56,0 days 00:26:59,18.3,15.2,16.372,1.48,3.291,17.684,5.374,4.497
