readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),mpow_r,mpow_y,mpow_b,mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-09-30 05:30:31,268.8,3.6036,223.51,6.8176,20.453,225.26,225.7,219.58,389.13,389.14,383.05,387.08,6.9691,7.6629,5.821,1.2993,1.3686,0.9357,2.8053,0.8799,1.0552,0.8702,4.5776,1.5699,1.7295,1.2782,0.789,0.828,0.7924,0.7307,50,335.88,195.78,1,1,2025-09-30 05:30:31,16.3,73.7,,1,0,,0
2025-09-30 05:31:16,268.85,3.579,223.21,6.7802,20.340600000000002,225.23,225.85,218.56,388.86,388.44,382.46,386.66,6.9861,7.6799,5.6746,1.3133,1.3604,0.9052,2.7861,0.8653,1.0737,0.8471,4.5482,1.5735,1.7345,1.2402,0.789,0.835,0.7849,0.7301,50,335.93,195.82,1,1,2025-09-30 05:31:16,16.2,73.4,,1,0,,0
2025-09-30 05:32:01,268.89,3.585,222.95,6.7895,20.3685,226.25,225.98,216.63,389.6,387.47,381.33,386.07,7.0749,7.7719,5.5217,1.3525,1.3554,0.8771,2.7793,0.8541,1.1097,0.8155,4.5532,1.6007,1.7563,1.1962,0.7903,0.8461,0.7729,0.7311,50,335.99,195.85,1,1,2025-09-30 05:32:01,16.1,73.3,,1,0,,0
2025-09-30 05:32:46,268.94,3.5757,222.83,6.7779,20.3338,226.43,225.85,216.22,389.07,387.31,381.36,385.96,7.0264,7.7633,5.5441,1.3448,1.3569,0.874,2.7778,0.8492,1.1086,0.82,4.5431,1.591,1.7533,1.1987,0.7897,0.8455,0.7744,0.7292,50,336.04,195.88,1,1,2025-09-30 05:32:46,16.1,73.2,,1,0,,0
2025-09-30 05:33:31,268.98,3.5649,223.07,6.7624,20.2872,226.34,225.75,217.12,389.28,387.45,382.27,386.2,7.0059,7.6996,5.5817,1.3277,1.3452,0.8919,2.7835,0.861,1.0949,0.8276,4.5358,1.5857,1.7382,1.2119,0.7881,0.8396,0.7763,0.7303,50,336.1,195.92,1,1,2025-09-30 05:33:31,15.9,72.4,,1,0,,0
2025-09-30 05:34:16,269.03,3.569,223.41,6.7679,20.3039,227.13,225,218.1,388.77,388.31,383.63,386.98,6.9984,7.5857,5.7198,1.315,1.3328,0.9212,2.7972,0.892,1.0645,0.8408,4.5438,1.5895,1.7068,1.2475,0.787,0.8275,0.7813,0.7386,50,336.16,195.95,1,1,2025-09-30 05:34:16,15.9,72.4,,1,0,,0
2025-09-30 05:35:01,269.07,3.5893,223.09,6.7932,20.3796,225.82,225.99,217.46,389.49,387.82,381.8,386.36,7.0032,7.7092,5.6672,1.3257,1.3623,0.9014,2.7847,0.8612,1.0838,0.8398,4.5561,1.5815,1.7422,1.2324,0.79,0.8385,0.7825,0.7316,50,336.21,195.99,1,1,2025-09-30 05:35:02,15.8,72.8,,1,0,,0
2025-09-30 05:36:31,269.16,3.5791,223.28,6.7817,20.345299999999998,226.04,226.14,217.68,389.56,387.8,382.8,386.71,7.0257,7.6213,5.6983,1.321,1.3458,0.9123,2.7943,0.8803,1.0744,0.8396,4.552,1.5881,1.7235,1.2404,0.7882,0.8321,0.7814,0.7358,50,336.33,196.06,1,1,2025-09-30 05:36:31,15.6,72.8,,1,0,,0
2025-09-30 05:37:38,269.24,3.5872,223.86,6.7951,20.3853,226.06,227.81,217.73,390.61,388.93,383.64,387.85,7.0413,7.7081,5.6359,1.3332,1.3628,0.8912,2.8159,0.8683,1.1049,0.8427,4.5748,1.5918,1.756,1.2271,0.7865,0.8379,0.7767,0.7266,50,336.43,196.12,1,1,2025-09-30 05:37:38,15.5,73.2,,1,0,,0
2025-09-30 05:38:23,269.29,3.5871,223.55,6.8008,20.4026,225.68,227.59,217.39,391.01,388.69,381.88,387.31,7.0249,7.7993,5.5784,1.3377,1.3758,0.8737,2.8104,0.8501,1.1197,0.8407,4.5731,1.5854,1.775,1.2127,0.7871,0.8439,0.7755,0.7205,50,336.49,196.16,1,1,2025-09-30 05:38:23,15.4,73.2,,1,0,,0
2025-09-30 05:39:08,269.33,3.5873,224.02,6.7955,20.3866,226.01,227.38,218.68,390.05,389.84,384.08,388.08,6.9494,7.6703,5.7669,1.304,1.3685,0.9148,2.8208,0.8743,1.0789,0.8675,4.5758,1.5706,1.7441,1.2611,0.786,0.8305,0.7852,0.7256,50,336.55,196.19,1,1,2025-09-30 05:39:08,15.4,73.2,,1,0,,0
2025-09-30 05:39:54,269.36,0.3138,224.53,0.4638,1.3915,226.97,227.9,218.72,391.76,390.27,384.58,388.91,0.0,1.3915,0.0,0,0.3138,0,0.043,0,0.043,0,0.3171,0,0.3171,0,0.9907,1,0.9907,1,50,336.59,196.22,0,1,2025-09-30 05:39:54,15.3,72.5,,0,0,,1
2025-09-30 05:40:38,269.37,0.3113,224.41,0.4605,1.3815,226.75,227.89,218.6,391.45,390.08,384.49,388.58,0.0,1.3815,0.0,0,0.3113,0,0.0436,0,0.0436,0,0.3148,0,0.3148,0,0.9903,1,0.9903,1,50,336.59,196.22,0,1,2025-09-30 05:40:38,15.3,74.3,,0,0,,1
2025-09-30 05:41:23,269.37,0.311,224.49,0.4595,1.3786,226.58,228.2,218.71,391.34,390.37,384.74,388.81,0.0,1.3786,0.0,0,0.311,0,0.0444,0,0.0444,0,0.3146,0,0.3146,0,0.9899,1,0.9899,1,50,336.6,196.22,0,1,2025-09-30 05:41:23,15.4,77.2,,0,0,,1
