start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 05:49:44,2025-09-30 05:54:14,0 days 00:04:30,21.3,19.8,20.7,0.23,3.067,19.956,6.507,5.036
2025-09-30 06:15:42,2025-09-30 06:20:34,0 days 00:04:52,21.3,19.7,20.717,0.29,3.575,19.965,5.584,5.038
2025-09-30 06:44:57,2025-09-30 06:50:12,0 days 00:05:15,21.3,19.6,20.467,0.28,3.2,19.829,6.197,5.006
2025-09-30 07:12:04,2025-09-30 07:16:56,0 days 00:04:52,21.3,19.7,20.617,0.29,3.575,19.91,5.569,5.025
2025-09-30 07:36:26,2025-09-30 07:42:26,0 days 00:06:00,21.3,19.1,20.438,0.35,3.5,19.814,5.661,5.002
2025-09-30 08:09:26,2025-09-30 08:14:03,0 days 00:04:37,21.3,19.8,20.733,0.28,3.639,19.974,5.489,5.04
2025-09-30 08:38:23,2025-09-30 08:42:53,0 days 00:04:30,21.3,19.8,20.683,0.26,3.467,19.947,5.754,5.034
2025-09-30 09:06:53,2025-09-30 09:12:08,0 days 00:05:15,21.3,19.7,20.714,0.29,3.314,19.963,6.023,5.038
2025-09-30 09:51:38,2025-09-30 09:58:23,0 days 00:06:45,22.1,19.8,21.25,0.39,3.467,20.255,5.843,5.106
2025-09-30 10:20:15,2025-09-30 10:24:00,0 days 00:03:45,21.2,19.8,20.625,0.24,3.84,19.915,5.186,5.026
2025-09-30 10:46:05,2025-09-30 10:52:05,0 days 00:06:00,21.3,19.7,20.65,0.36,3.6,19.929,5.536,5.029
2025-09-30 11:16:05,2025-09-30 11:21:20,0 days 00:05:15,21.3,19.7,20.7,0.29,3.314,19.956,6.021,5.036
2025-09-30 11:44:17,2025-09-30 11:49:32,0 days 00:05:15,21.3,19.6,20.683,0.33,3.771,19.947,5.289,5.034
2025-09-30 12:14:17,2025-09-30 12:19:32,0 days 00:05:15,21.3,19.7,20.683,0.32,3.657,19.947,5.454,5.034
2025-09-30 12:42:07,2025-09-30 12:47:43,0 days 00:05:36,21.3,19.7,20.757,0.37,3.964,19.987,5.042,5.043
2025-09-30 13:12:28,2025-09-30 13:17:43,0 days 00:05:15,21.3,19.8,20.771,0.35,4.0,19.994,4.999,5.045
2025-09-30 13:37:41,2025-09-30 13:43:18,0 days 00:05:37,21.2,19.2,20.68,0.32,3.418,19.945,5.835,5.033
2025-09-30 14:04:39,2025-09-30 14:09:54,0 days 00:05:15,21.2,19.2,20.471,0.32,3.657,19.832,5.423,5.006
2025-09-30 14:33:16,2025-09-30 14:39:38,0 days 00:06:22,21.2,19.1,20.533,0.36,3.393,19.865,5.855,5.014
2025-09-30 15:02:07,2025-09-30 15:08:07,0 days 00:06:00,21.2,19.1,20.438,0.37,3.7,19.814,5.355,5.002
2025-09-30 15:29:52,2025-09-30 15:35:07,0 days 00:05:15,21.2,19.7,20.571,0.33,3.771,19.886,5.273,5.019
2025-09-30 15:57:20,2025-09-30 16:03:20,0 days 00:06:00,21.2,19.0,20.237,0.37,3.7,19.706,5.326,4.977
2025-09-30 16:28:50,2025-09-30 16:34:05,0 days 00:05:15,21.2,19.2,20.529,0.34,3.886,19.863,5.112,5.014
2025-09-30 16:58:54,2025-09-30 17:04:30,0 days 00:05:36,21.3,19.2,20.543,0.37,3.964,19.871,5.012,5.016
2025-09-30 17:29:15,2025-09-30 17:34:30,0 days 00:05:15,21.2,19.7,20.557,0.3,3.429,19.878,5.798,5.017
2025-09-30 17:55:58,2025-09-30 18:00:04,0 days 00:04:06,21.2,19.7,20.56,0.26,3.805,19.88,5.225,5.018
2025-09-30 18:25:55,2025-09-30 18:30:25,0 days 00:04:30,21.2,19.7,20.483,0.27,3.6,19.838,5.511,5.008
2025-09-30 18:53:25,2025-09-30 18:57:55,0 days 00:04:30,20.8,19.6,20.383,0.27,3.6,19.784,5.496,4.995
2025-09-30 19:21:53,2025-09-30 19:27:08,0 days 00:05:15,21.2,19.7,20.6,0.32,3.657,19.901,5.442,5.023
2025-09-30 19:50:30,2025-09-30 19:55:45,0 days 00:05:15,21.2,19.2,20.557,0.3,3.429,19.878,5.798,5.017
2025-09-30 20:19:19,2025-09-30 20:23:49,0 days 00:04:30,21.2,19.8,20.683,0.26,3.467,19.947,5.754,5.034
2025-09-30 20:48:34,2025-09-30 20:53:11,0 days 00:04:37,21.2,19.2,20.417,0.25,3.249,19.802,6.095,4.999
2025-09-30 21:44:31,2025-09-30 21:51:16,0 days 00:06:45,22.1,19.6,21.033,0.39,3.467,20.137,5.809,5.078
2025-09-30 22:13:05,2025-09-30 22:16:50,0 days 00:03:45,21.3,19.9,20.84,0.22,3.52,20.032,5.691,5.054
2025-09-30 22:38:57,2025-09-30 22:43:27,0 days 00:04:30,21.3,19.8,20.683,0.26,3.467,19.947,5.754,5.034
2025-09-30 23:05:19,2025-09-30 23:10:56,0 days 00:05:37,21.2,19.1,20.443,0.36,3.846,19.816,5.153,5.003
2025-09-30 23:37:09,2025-09-30 23:41:39,0 days 00:04:30,21.3,19.7,20.6,0.23,3.067,19.901,6.49,5.023
2025-10-01 00:04:16,2025-10-01 00:09:31,0 days 00:05:15,21.3,19.2,20.557,0.31,3.543,19.878,5.611,5.017
2025-10-01 00:36:07,2025-10-01 00:41:22,0 days 00:05:15,21.3,19.6,20.571,0.29,3.314,19.886,6.0,5.019
2025-10-01 01:07:43,2025-10-01 01:14:05,0 days 00:06:22,21.3,19.1,20.571,0.34,3.204,19.886,6.206,5.019
2025-10-01 01:41:48,2025-10-01 01:46:18,0 days 00:04:30,21.3,19.8,20.78,0.24,3.2,19.999,6.25,5.046
2025-10-01 02:05:03,2025-10-01 02:10:25,0 days 00:05:22,21.3,19.7,20.7,0.32,3.578,19.956,5.578,5.036
2025-10-01 02:32:30,2025-10-01 02:37:45,0 days 00:05:15,21.3,19.7,20.771,0.31,3.543,19.994,5.644,5.045
2025-10-01 03:04:00,2025-10-01 03:08:30,0 days 00:04:30,21.3,19.7,20.617,0.27,3.6,19.91,5.531,5.025
2025-10-01 03:34:07,2025-10-01 03:37:29,0 days 00:03:22,21.2,19.8,20.6,0.22,3.921,19.901,5.076,5.023
2025-10-01 04:08:14,2025-10-01 04:19:36,0 days 00:11:22,21.5,18.1,19.94,0.69,3.642,19.546,5.366,4.939
2025-10-01 04:37:35,2025-10-01 04:43:57,0 days 00:06:22,20.7,19.0,20.075,0.39,3.675,19.618,5.338,4.956
2025-10-01 05:04:57,2025-10-01 05:10:12,0 days 00:05:15,21.2,19.2,20.683,0.31,3.543,19.947,5.63,5.034
2025-10-01 05:32:25,2025-10-01 05:36:31,0 days 00:04:06,21.3,19.8,20.72,0.24,3.512,19.966,5.685,5.038
2025-10-01 05:56:22,2025-10-01 06:01:37,0 days 00:05:15,21.3,19.7,20.614,0.28,3.2,19.909,6.222,5.025
2025-10-01 06:23:22,2025-10-01 06:27:59,0 days 00:04:37,21.3,19.7,20.683,0.28,3.639,19.947,5.481,5.034
2025-10-01 06:47:51,2025-10-01 06:52:21,0 days 00:04:30,21.3,19.8,20.7,0.27,3.6,19.956,5.543,5.036
2025-10-01 07:15:36,2025-10-01 07:19:21,0 days 00:03:45,21.2,19.7,20.56,0.22,3.52,19.88,5.648,5.018
2025-10-01 07:41:57,2025-10-01 07:47:12,0 days 00:05:15,21.3,19.7,20.78,0.29,3.314,19.999,6.034,5.046
2025-10-01 08:09:20,2025-10-01 08:14:35,0 days 00:05:15,21.3,19.2,20.533,0.31,3.543,19.865,5.607,5.014
2025-10-01 10:01:15,2025-10-01 10:05:45,0 days 00:04:30,21.3,19.8,20.7,0.26,3.467,19.956,5.756,5.036
2025-10-01 10:29:00,2025-10-01 10:34:15,0 days 00:05:15,21.3,19.7,20.7,0.33,3.771,19.956,5.291,5.036
2025-10-01 10:59:45,2025-10-01 11:05:00,0 days 00:05:15,21.3,19.7,20.586,0.3,3.429,19.894,5.802,5.021
2025-10-01 11:28:15,2025-10-01 11:33:30,0 days 00:05:15,21.3,19.7,20.629,0.33,3.771,19.917,5.281,5.027
2025-10-01 11:59:00,2025-10-01 12:04:15,0 days 00:05:15,21.3,19.7,20.586,0.32,3.657,19.894,5.44,5.021
2025-10-01 12:29:00,2025-10-01 12:35:00,0 days 00:06:00,21.3,19.6,20.65,0.35,3.5,19.929,5.694,5.029
2025-10-01 12:57:30,2025-10-01 13:02:45,0 days 00:05:15,21.2,19.7,20.557,0.32,3.657,19.878,5.435,5.017
2025-10-01 13:29:00,2025-10-01 13:34:15,0 days 00:05:15,21.3,19.8,20.757,0.33,3.771,19.987,5.299,5.043
2025-10-01 13:57:30,2025-10-01 14:02:45,0 days 00:05:15,21.3,19.7,20.629,0.32,3.657,19.917,5.446,5.027
2025-10-01 14:26:45,2025-10-01 14:31:15,0 days 00:04:30,21.3,19.9,20.9,0.28,3.733,20.064,5.374,5.061
2025-10-01 14:55:15,2025-10-01 15:00:30,0 days 00:05:15,21.3,19.8,20.8,0.32,3.657,20.01,5.471,5.048
2025-10-01 15:23:00,2025-10-01 15:28:15,0 days 00:05:15,21.3,19.7,20.586,0.31,3.543,19.894,5.615,5.021
2025-10-01 15:51:30,2025-10-01 15:56:00,0 days 00:04:30,21.2,19.7,20.483,0.29,3.867,19.838,5.131,5.008
2025-10-01 16:20:45,2025-10-01 16:26:00,0 days 00:05:15,21.3,19.7,20.571,0.32,3.657,19.886,5.438,5.019
2025-10-01 17:17:00,2025-10-01 17:25:15,0 days 00:08:15,22.2,19.2,21.1,0.53,3.855,20.173,5.234,5.087
2025-10-01 17:46:15,2025-10-01 17:51:30,0 days 00:05:15,21.2,19.7,20.433,0.33,3.771,19.811,5.253,5.002
2025-10-01 18:12:30,2025-10-01 18:18:30,0 days 00:06:00,21.2,19.2,20.488,0.36,3.6,19.841,5.511,5.009
2025-10-01 18:38:00,2025-10-01 18:44:00,0 days 00:06:00,20.8,19.2,20.362,0.35,3.5,19.773,5.649,4.993
2025-10-01 19:11:00,2025-10-01 19:15:30,0 days 00:04:30,21.3,19.7,20.74,0.26,3.467,19.977,5.763,5.041
2025-10-01 19:39:30,2025-10-01 19:44:45,0 days 00:05:15,21.3,19.8,20.771,0.3,3.429,19.994,5.832,5.045
2025-10-01 20:05:45,2025-10-01 20:10:15,0 days 00:04:30,21.2,19.8,20.683,0.26,3.467,19.947,5.754,5.034
2025-10-01 20:32:00,2025-10-01 20:36:30,0 days 00:04:30,21.3,19.8,20.7,0.27,3.6,19.956,5.543,5.036
2025-10-01 21:00:30,2025-10-01 21:04:15,0 days 00:03:45,21.2,19.8,20.58,0.24,3.84,19.891,5.18,5.02
2025-10-01 21:27:30,2025-10-01 21:32:45,0 days 00:05:15,21.3,19.7,20.483,0.32,3.657,19.838,5.425,5.008
2025-10-01 21:57:30,2025-10-01 22:02:45,0 days 00:05:15,21.3,19.7,20.643,0.3,3.429,19.925,5.811,5.028
2025-10-01 22:26:00,2025-10-01 22:31:15,0 days 00:05:15,21.3,19.7,20.6,0.29,3.314,19.901,6.005,5.023
2025-10-01 22:53:00,2025-10-01 22:58:15,0 days 00:05:15,21.3,19.7,20.6,0.29,3.314,19.901,6.005,5.023
2025-10-01 23:46:15,2025-10-01 23:53:45,0 days 00:07:30,22.2,19.7,21.057,0.45,3.6,20.15,5.597,5.082
2025-10-02 00:16:15,2025-10-02 00:20:45,0 days 00:04:30,21.3,19.8,20.84,0.25,3.333,20.032,6.009,5.054
2025-10-02 00:41:00,2025-10-02 00:46:15,0 days 00:05:15,21.3,19.7,20.614,0.3,3.429,19.909,5.807,5.025
2025-10-02 01:11:45,2025-10-02 01:16:15,0 days 00:04:30,21.3,19.7,20.683,0.25,3.333,19.947,5.984,5.034
2025-10-02 01:40:15,2025-10-02 01:47:00,0 days 00:06:45,21.3,19.0,20.475,0.38,3.378,19.834,5.872,5.007
2025-10-02 02:14:45,2025-10-02 02:19:15,0 days 00:04:30,21.3,19.8,20.733,0.25,3.333,19.974,5.992,5.04
2025-10-02 02:43:15,2025-10-02 02:48:30,0 days 00:05:15,21.3,19.8,20.771,0.29,3.314,19.994,6.033,5.045
2025-10-02 03:13:15,2025-10-02 03:17:45,0 days 00:04:30,21.3,19.8,20.733,0.25,3.333,19.974,5.992,5.04
2025-10-02 03:41:45,2025-10-02 03:47:00,0 days 00:05:15,21.3,19.2,20.543,0.3,3.429,19.871,5.796,5.016
2025-10-02 04:11:00,2025-10-02 04:15:30,0 days 00:04:30,21.3,19.8,20.767,0.28,3.733,19.992,5.355,5.044
2025-10-02 04:41:00,2025-10-02 04:45:30,0 days 00:04:30,21.3,19.8,20.7,0.26,3.467,19.956,5.756,5.036
2025-10-02 05:03:30,2025-10-02 05:13:15,0 days 00:09:45,21.2,18.3,19.869,0.56,3.446,19.508,5.661,4.93
