readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-10-01 06:30:34,98.49,0.2923,231.4,0.438,1.3141,227.59,233.47,233.14,399.79,403.61,398.99,400.77,1.3141,0.0,0.0,0.2923,0.0,0.0,0.0614,0.0614,0,0,0.2991,0.2991,0,0,0.9786,0.9786,1,1,50,123.75,65.05,0,1,2025-10-01 06:31:19,18.9,76,,0,0,,1
2025-10-01 06:31:19,98.49,0.2942,232.19,0.4388,1.3165,228.88,233.91,233.8,401.34,404.15,401.02,402.1,1.3165,0.0,0.0,0.2942,0.0,0.0,0.0629,0.0629,0,0,0.3013,0.3013,0,0,0.9778,0.9778,1,1,50,123.75,65.06,0,1,2025-10-01 06:31:19,18.9,76,,0,0,,1
2025-10-01 06:32:04,98.5,0.2938,232.2,0.4385,1.3156,228.73,234.1,233.79,401.18,404.8,400.6,402.18,1.3156,0.0,0.0,0.2938,0.0,0.0,0.0628,0.0628,0,0,0.3009,0.3009,0,0,0.9779,0.9779,1,1,50,123.76,65.06,0,1,2025-10-01 06:32:19,18.8,79.1,,0,0,,1
2025-10-01 06:32:49,98.5,0.2936,232.11,0.4383,1.3149,228.7,233.91,233.74,401.19,403.98,400.93,402.07,1.3149,0.0,0.0,0.2936,0.0,0.0,0.0627,0.0627,0,0,0.3007,0.3007,0,0,0.9779,0.9779,1,1,50,123.76,65.06,0,1,2025-10-01 06:33:19,18.8,81.7,,0,0,,1
2025-10-01 06:33:34,98.5,0.2932,231.99,0.4379,1.3138,228.54,233.81,233.64,400.7,404.51,400.27,401.87,1.3138,0.0,0.0,0.2932,0.0,0.0,0.0626,0.0626,0,0,0.3003,0.3003,0,0,0.9779,0.9779,1,1,50,123.77,65.06,0,1,2025-10-01 06:34:19,18.9,83.5,,0,0,,1
2025-10-01 06:34:19,98.51,0.2941,231.89,0.4379,1.3137,228.43,233.67,233.57,400.66,403.89,400.38,401.6,1.3137,0.0,0.0,0.293,0.0,0.0,0.0626,0.0626,0,0,0.3001,0.3001,0,0,0.9781,0.9779,1,1,50,123.77,65.06,0,1,2025-10-01 06:34:19,18.9,83.5,,0,0,,1
2025-10-01 06:35:04,98.51,0.2893,230.14,0.4358,1.3074,226.38,231.96,232.08,396.89,401.62,397.34,398.61,1.3074,0.0,0.0,0.2893,0.0,0.0,0.0606,0.0606,0,0,0.296,0.296,0,0,0.9787,0.9787,1,1,50,123.77,65.06,0,1,2025-10-01 06:35:19,18.9,85,,0,0,,1
2025-10-01 06:35:49,98.51,0.2893,230.17,0.4357,1.3071,226.42,232.02,232.09,397.09,401.59,397.35,398.63,1.3071,0.0,0.0,0.2893,0.0,0.0,0.0607,0.0607,0,0,0.296,0.296,0,0,0.9786,0.9786,1,1,50,123.78,65.06,0,1,2025-10-01 06:36:19,18.9,86.1,,0,0,,1
2025-10-01 06:36:34,98.52,0.2886,229.38,0.4352,1.3056,225.14,231.46,231.56,395.33,401.11,395.5,397.27,1.3056,0.0,0.0,0.2876,0.0,0.0,0.0589,0.0589,0,0,0.2939,0.2939,0,0,0.9797,0.9796,1,1,50,123.78,65.06,0,1,2025-10-01 06:37:19,19.0,87.1,,0,0,,1
2025-10-01 06:37:19,98.52,0.2916,230.91,0.4363,1.309,227.13,232.79,232.82,398.4,403.06,398.4,400.05,1.309,0.0,0.0,0.2904,0.0,0.0,0.0616,0.0616,0,0,0.2973,0.2973,0,0,0.9784,0.9782,1,1,50,123.78,65.06,0,1,2025-10-01 06:37:19,19.0,87.1,,0,0,,1
2025-10-01 06:38:04,98.53,0.2903,230.83,0.4361,1.3085,227.1,232.62,232.78,398.48,402.62,398.34,399.86,1.3085,0.0,0.0,0.2903,0.0,0.0,0.0614,0.0614,0,0,0.2972,0.2972,0,0,0.9783,0.9783,1,1,50,123.79,65.06,0,1,2025-10-01 06:38:19,19.0,87.9,,0,0,,1
2025-10-01 06:38:49,98.53,0.2897,230.62,0.4356,1.3068,226.86,232.44,232.57,398.06,402.54,397.75,399.47,1.3068,0.0,0.0,0.2897,0.0,0.0,0.0611,0.0611,0,0,0.2965,0.2965,0,0,0.9784,0.9784,1,1,50,123.79,65.06,0,1,2025-10-01 06:39:19,19.1,88.5,,0,0,,1
2025-10-01 06:39:34,98.53,0.2915,230.72,0.4361,1.3085,227.13,232.03,233.02,397.57,402.08,399.23,399.52,1.3085,0.0,0.0,0.2904,0.0,0.0,0.0614,0.0614,0,0,0.2972,0.2972,0,0,0.9785,0.9783,1,1,50,123.8,65.06,0,1,2025-10-01 06:40:19,19.5,89,,0,0,,1
2025-10-01 06:40:19,98.54,0.2913,231.18,0.4361,1.3085,228.05,232.24,233.26,398.94,402.91,399.41,400.36,1.3085,0.0,0.0,0.2913,0.0,0.0,0.0627,0.0627,0,0,0.2984,0.2984,0,0,0.9775,0.9775,1,1,50,123.8,65.06,0,1,2025-10-01 06:40:19,19.5,89,,0,0,,1
2025-10-01 06:41:04,98.54,0.2924,231.59,0.4369,1.3109,228.5,232.69,233.6,399.7,403.13,400.58,401.12,1.3109,0.0,0.0,0.2924,0.0,0.0,0.0631,0.0631,0,0,0.2995,0.2995,0,0,0.9774,0.9774,1,1,50,123.8,65.07,0,1,2025-10-01 06:41:19,19.5,89.4,,0,0,,1
2025-10-01 06:41:49,98.54,0.289,230.29,0.4351,1.3053,226.54,232.2,232.14,397.35,401.56,397.73,398.91,1.3053,0.0,0.0,0.289,0.0,0.0,0.0606,0.0606,0,0,0.2957,0.2957,0,0,0.9787,0.9787,1,1,50,123.81,65.07,0,1,2025-10-01 06:42:19,19.5,89.8,,0,0,,1
2025-10-01 06:42:34,98.55,0.2893,230.17,0.4355,1.3067,226.43,232.03,232.07,396.85,401.61,397.57,398.62,1.3067,0.0,0.0,0.2893,0.0,0.0,0.0604,0.0604,0,0,0.2959,0.2959,0,0,0.9788,0.9788,1,1,50,123.81,65.07,0,1,2025-10-01 06:43:19,19.6,90.2,,0,0,,1
2025-10-01 06:43:19,98.55,0.2925,231.24,0.4363,1.309,228.14,232.35,233.24,398.89,402.49,400.18,400.51,1.309,0.0,0.0,0.2915,0.0,0.0,0.0628,0.0628,0,0,0.2986,0.2986,0,0,0.9777,0.9775,1,1,50,123.81,65.07,0,1,2025-10-01 06:43:19,19.6,90.2,,0,0,,1
2025-10-01 06:44:04,98.55,0.2923,231.8,0.4367,1.3102,228.64,232.95,233.82,400.39,403.07,401.01,401.49,1.3102,0.0,0.0,0.2923,0.0,0.0,0.0633,0.0633,0,0,0.2996,0.2996,0,0,0.9773,0.9773,1,1,50,123.82,65.07,0,1,2025-10-01 06:44:19,19.6,90.4,,0,0,,1
2025-10-01 06:44:49,98.56,0.293,231.48,0.4365,1.3095,228.34,232.57,233.55,399.57,402.66,400.6,400.91,1.3095,0.0,0.0,0.2919,0.0,0.0,0.0626,0.0626,0,0,0.299,0.299,0,0,0.9779,0.9777,1,1,50.1,123.82,65.07,0,1,2025-10-01 06:45:19,19.6,90.7,,0,0,,1
2025-10-01 06:45:34,98.56,0.2947,233.36,0.4374,1.3122,229.5,235.31,235.28,402.52,407.75,402.33,404.18,1.3122,0.0,0.0,0.2937,0.0,0.0,0.0645,0.0645,0,0,0.3011,0.3011,0,0,0.9768,0.9766,1,1,50,123.83,65.07,0,1,2025-10-01 06:46:19,19.6,90.9,,0,0,,1
2025-10-01 06:46:19,98.57,0.2938,233.34,0.4374,1.3123,229.48,235.22,235.32,402.66,407.45,402.37,404.14,1.3123,0.0,0.0,0.2938,0.0,0.0,0.064,0.064,0,0,0.3011,0.3011,0,0,0.977,0.977,1,1,50.1,123.83,65.07,0,1,2025-10-01 06:46:19,19.6,90.9,,0,0,,1
2025-10-01 06:47:04,98.57,0.293,233.08,0.4367,1.3103,229.17,234.99,235.09,402.16,406.9,402.08,403.74,1.3103,0.0,0.0,0.293,0.0,0.0,0.0636,0.0636,0,0,0.3003,0.3003,0,0,0.9772,0.9772,1,1,50.1,123.83,65.07,0,1,2025-10-01 06:47:19,19.7,91.2,,0,0,,1
2025-10-01 06:47:49,98.57,0.2905,231.7,0.4356,1.307,227.46,233.69,233.95,399.29,405.08,399.58,401.36,1.307,0.0,0.0,0.2905,0.0,0.0,0.0614,0.0614,0,0,0.2973,0.2973,0,0,0.9783,0.9783,1,1,50.1,123.84,65.07,0,1,2025-10-01 06:48:19,19.7,91.3,,0,0,,1
2025-10-01 06:48:34,98.58,0.2918,231.86,0.4358,1.3074,227.5,233.96,234.14,399.65,405.16,400.01,401.57,1.3074,0.0,0.0,0.2906,0.0,0.0,0.0613,0.0613,0,0,0.2974,0.2974,0,0,0.9786,0.9784,1,1,50.1,123.84,65.07,0,1,2025-10-01 06:49:19,19.7,91.4,,0,0,,1
2025-10-01 06:49:19,98.58,0.2956,233.94,0.4391,1.3174,230.27,235.77,235.8,403.9,408.07,403.64,403.83,1.3174,0.0,0.0,0.2956,0.0,0.0,0.0649,0.0649,0,0,0.3034,0.3034,0,0,0.9767,0.9761,1,1,50.1,123.84,65.07,0,1,2025-10-01 06:49:19,19.7,91.4,,0,0,,1
2025-10-01 06:50:04,98.58,0.2975,234.5,0.4385,1.3157,230.96,236.26,236.28,405.13,408.74,404.63,406.17,1.3157,0.0,0.0,0.2961,0.0,0.0,0.0658,0.0658,0,0,0.3039,0.3039,0,0,0.9763,0.9761,1,1,50.1,123.85,65.07,0,1,2025-10-01 06:50:19,19.7,91.5,,0,0,,1
