start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 12:04:20,2025-09-30 12:11:05,0 days 00:06:45,19.9,17.9,19.088,0.4,3.556,19.092,5.37,4.831
2025-09-30 12:35:51,2025-09-30 12:44:06,0 days 00:08:15,19.6,17.2,18.73,0.52,3.782,18.903,4.998,4.787
2025-09-30 13:08:50,2025-09-30 13:16:20,0 days 00:07:30,19.1,17.2,18.311,0.45,3.6,18.683,5.19,4.734
2025-09-30 13:38:50,2025-09-30 13:45:35,0 days 00:06:45,18.9,17.2,18.225,0.44,3.911,18.638,4.765,4.724
2025-09-30 14:09:35,2025-09-30 14:17:06,0 days 00:07:31,19.0,17.1,18.233,0.47,3.752,18.642,4.969,4.725
2025-09-30 14:41:51,2025-09-30 14:48:35,0 days 00:06:44,18.9,17.0,18.2,0.43,3.832,18.625,4.861,4.721
2025-09-30 15:11:50,2025-09-30 15:19:20,0 days 00:07:30,19.0,17.2,18.36,0.49,3.92,18.709,4.773,4.741
2025-09-30 15:45:35,2025-09-30 15:52:20,0 days 00:06:45,19.0,17.3,18.229,0.43,3.822,18.64,4.877,4.724
2025-09-30 16:18:35,2025-09-30 16:26:05,0 days 00:07:30,19.1,17.2,18.38,0.48,3.84,18.719,4.875,4.743
2025-09-30 16:53:05,2025-09-30 16:59:50,0 days 00:06:45,19.2,17.4,18.5,0.43,3.822,18.782,4.914,4.758
2025-09-30 17:30:35,2025-09-30 17:37:20,0 days 00:06:45,19.4,17.6,18.838,0.43,3.822,18.96,4.96,4.8
2025-09-30 18:14:05,2025-09-30 18:20:51,0 days 00:06:46,19.5,17.5,18.789,0.39,3.458,18.934,5.475,4.794
2025-09-30 19:04:20,2025-09-30 19:10:21,0 days 00:06:01,19.6,17.9,19.043,0.38,3.789,19.068,5.032,4.826
2025-09-30 19:53:50,2025-09-30 19:59:50,0 days 00:06:00,19.7,17.8,19.0,0.36,3.6,19.045,5.29,4.82
2025-09-30 20:47:06,2025-09-30 20:53:05,0 days 00:05:59,19.7,17.9,19.1,0.35,3.51,19.098,5.441,4.833
2025-09-30 21:43:20,2025-09-30 21:48:36,0 days 00:05:16,19.8,18.0,19.117,0.31,3.532,19.107,5.41,4.835
2025-09-30 22:38:50,2025-09-30 22:44:50,0 days 00:06:00,19.8,17.9,19.071,0.33,3.3,19.083,5.783,4.829
2025-09-30 23:37:20,2025-09-30 23:43:20,0 days 00:06:00,19.8,17.8,19.062,0.33,3.3,19.078,5.781,4.828
2025-10-01 00:38:50,2025-10-01 00:44:05,0 days 00:05:15,19.8,18.1,19.2,0.3,3.429,19.151,5.586,4.845
2025-10-01 01:34:20,2025-10-01 01:40:20,0 days 00:06:00,19.9,18.0,19.238,0.34,3.4,19.171,5.639,4.85
2025-10-01 02:36:35,2025-10-01 02:41:50,0 days 00:05:15,19.8,18.0,19.15,0.29,3.314,19.125,5.77,4.839
2025-10-01 03:41:05,2025-10-01 03:46:20,0 days 00:05:15,19.9,18.1,19.214,0.29,3.314,19.159,5.781,4.847
2025-10-01 04:50:05,2025-10-01 04:55:21,0 days 00:05:16,19.9,18.1,19.214,0.32,3.646,19.159,5.255,4.847
2025-10-01 05:23:50,2025-10-01 05:31:20,0 days 00:07:30,19.7,17.7,18.96,0.41,3.28,19.024,5.8,4.815
2025-10-01 06:23:50,2025-10-01 06:29:06,0 days 00:05:16,19.9,18.1,19.16,0.3,3.418,19.13,5.597,4.84
2025-10-01 07:15:35,2025-10-01 07:21:35,0 days 00:06:00,19.8,18.0,19.175,0.34,3.4,19.138,5.629,4.842
2025-10-01 08:04:20,2025-10-01 08:11:05,0 days 00:06:45,19.8,17.7,19.011,0.35,3.111,19.051,6.124,4.822
