readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-09-30 05:30:35,125.56,0.3236,236.91,0.4756,1.427,228.62,242.15,239.98,404.94,422.7,403.48,410.34,1.427,0.0,0.0,0.3236,0.0,0.0,0.0356,0.0356,0,0,0.3262,0.3262,0,0,0.9939,0.9939,1,1,50,156.01,83.41,0,1,2025-09-30 05:30:35,18.7,78.7,,0,0,,1
2025-09-30 05:31:20,125.56,0.3208,237.36,0.4733,1.4201,227.65,243.92,240.53,404.7,425.95,402.84,411.37,1.4201,0.0,0.0,0.3208,0.0,0.0,0.0352,0.0352,0,0,0.3233,0.3233,0,0,0.994,0.994,1,1,50,156.01,83.41,0,1,2025-09-30 05:31:20,18.5,86.2,,0,0,,1
2025-09-30 05:32:05,125.56,0.3198,235.38,0.4729,1.4189,228.19,242.55,235.4,405.55,419.19,398.38,407.7,1.4189,0.0,0.0,0.3212,0.0,0.0,0.0359,0.0359,0,0,0.3238,0.3238,0,0,0.9937,0.9938,1,1,50,156.01,83.41,0,1,2025-09-30 05:32:05,18.6,90.9,,0,0,,1
2025-09-30 05:32:50,125.57,0.3178,237.19,0.4715,1.4145,227.14,244.88,239.55,405.49,424.78,402.35,411.08,1.4145,0.0,0.0,0.3188,0.0,0.0,0.0351,0.0351,0,0,0.3213,0.3213,0,0,0.9939,0.9939,1,1,50,156.02,83.41,0,1,2025-09-30 05:32:50,18.9,93.2,,0,0,,1
2025-09-30 05:33:35,125.57,0.3179,236.08,0.4718,1.4155,227.19,242.12,238.94,403.91,421.68,401.24,408.81,1.4155,0.0,0.0,0.3191,0.0,0.0,0.0352,0.0352,0,0,0.3216,0.3216,0,0,0.9939,0.9939,1,1,50,156.02,83.41,0,1,2025-09-30 05:33:35,19.1,94.5,,0,0,,1
2025-09-30 05:34:20,125.58,0.3174,235.22,0.4711,1.4135,227.17,240.09,238.4,402.57,418.16,401.61,407.97,1.4135,0.0,0.0,0.3186,0.0,0.0,0.0355,0.0355,0,0,0.3211,0.3211,0,0,0.9938,0.9938,1,1,50,156.03,83.41,0,1,2025-09-30 05:34:20,19.4,95.2,,0,0,,1
2025-09-30 05:35:05,125.58,0.3191,236.29,0.4712,1.4138,228.42,241.28,239.18,405.24,420.46,402.2,409.38,1.4138,0.0,0.0,0.3203,0.0,0.0,0.0379,0.0367,0,0,0.3229,0.3229,0,0,0.993,0.9935,1,1,50,156.03,83.41,0,1,2025-09-30 05:35:05,19.6,95.7,,0,0,,1
2025-09-30 05:35:50,125.58,0.3215,235.67,0.4718,1.4156,229.89,240.1,237.03,405.14,416.42,403.07,408.14,1.4156,0.0,0.0,0.3226,0.0,0.0,0.0382,0.0382,0,0,0.3254,0.3254,0,0,0.993,0.993,1,1,50,156.04,83.41,0,1,2025-09-30 05:35:50,19.8,96,,0,0,,1
2025-09-30 05:36:35,125.6,3.8193,235.08,7.2007,21.6021,227.61,242.02,235.61,403.97,418.82,398.77,407.24,6.2657,7.3313,8.0051,1.1521,1.4405,1.2268,3.2964,0.8363,1.0326,1.4275,5.0865,1.4261,1.7743,1.8861,0.757,0.8092,0.8127,0.6517,50,156.05,83.42,1,1,2025-09-30 05:36:35,20.0,96.3,,1,0,,0
2025-09-30 05:37:20,125.64,3.9797,235.47,7.3567,22.0701,226.54,240.44,239.43,403.72,418.31,401.64,407.82,6.7202,7.1342,8.2157,1.2009,1.4167,1.362,3.3117,0.9324,0.9644,1.4149,5.2048,1.5224,1.7153,1.9671,0.7686,0.7898,0.8266,0.6935,50,156.11,83.46,1,1,2025-09-30 05:37:20,19.9,89.8,,1,0,,0
2025-09-30 05:38:05,125.69,3.8934,236.57,7.2777,21.8333,228.12,242.36,239.23,410.38,416.84,402.08,409.78,6.8422,7.2292,7.7619,1.255,1.3856,1.2528,3.3595,0.9234,1.0702,1.3658,5.1698,1.5608,1.7521,1.8569,0.7571,0.8054,0.7914,0.6759,50,156.18,83.5,1,1,2025-09-30 05:38:05,19.4,81.1,,1,0,,0
2025-09-30 05:38:50,125.73,0.3234,236.04,0.4762,1.4288,228.09,240.37,239.67,406.62,417.55,402.43,408.87,1.4288,0.0,0.0,0.3234,0.0,0.0,0.0359,0.0359,0,0,0.3259,0.3259,0,0,0.9938,0.9938,1,1,50,156.23,83.53,0,1,2025-09-30 05:38:50,18.8,77.5,,0,0,,1
2025-09-30 05:39:35,125.73,0.3239,237.28,0.4739,1.4217,229.76,243.26,238.82,410.53,418.64,403.86,410.87,1.4217,0.0,0.0,0.3239,0.0,0.0,0.0378,0.0378,0,0,0.3266,0.3266,0,0,0.9932,0.9932,1,1,50,156.23,83.53,0,1,2025-09-30 05:39:35,18.5,84.6,,0,0,,1
2025-09-30 05:40:20,125.74,0.3233,237.37,0.474,1.4221,229.27,242.71,240.14,409.94,419.34,404.24,410.86,1.4221,0.0,0.0,0.3233,0.0,0.0,0.0375,0.0375,0,0,0.326,0.326,0,0,0.9933,0.9933,1,1,50,156.23,83.53,0,1,2025-09-30 05:40:20,18.5,90.1,,0,0,,1
2025-09-30 05:41:05,125.74,0.3173,236.69,0.4702,1.4108,226.62,242.93,240.53,407.8,419.33,402.9,410.25,1.4108,0.0,0.0,0.3173,0.0,0.0,0.035,0.035,0,0,0.3197,0.3197,0,0,0.9939,0.9939,1,1,50,156.24,83.53,0,1,2025-09-30 05:41:05,18.8,93,,0,0,,1
2025-09-30 05:41:50,125.74,0.3228,238.08,0.4727,1.4182,229.7,242.93,241.63,410.22,418.68,408.29,412.29,1.4182,0.0,0.0,0.3228,0.0,0.0,0.0387,0.0387,0,0,0.3258,0.3258,0,0,0.9928,0.9928,1,1,50,156.24,83.53,0,1,2025-09-30 05:41:50,19.0,94.4,,0,0,,1
2025-09-30 05:42:35,125.75,0.322,236.33,0.4725,1.4177,229.07,239.66,240.27,407.65,414.5,405.89,409.52,1.4177,0.0,0.0,0.322,0.0,0.0,0.0375,0.0375,0,0,0.3248,0.3248,0,0,0.9933,0.9933,1,1,50,156.25,83.53,0,1,2025-09-30 05:42:35,19.3,95.3,,0,0,,1
2025-09-30 05:43:20,125.75,0.3214,236.76,0.4721,1.4164,228.83,241.99,239.48,408.61,415.22,406.45,410.07,1.4164,0.0,0.0,0.3214,0.0,0.0,0.0371,0.0371,0,0,0.3241,0.3241,0,0,0.9934,0.9934,1,1,50.1,156.25,83.53,0,1,2025-09-30 05:43:20,19.5,95.8,,0,0,,1
2025-09-30 05:44:05,125.76,0.3195,236.98,0.4714,1.4144,227.75,243.89,239.31,409.7,417.75,404.04,410.34,1.4144,0.0,0.0,0.3195,0.0,0.0,0.0364,0.0364,0,0,0.3221,0.3221,0,0,0.9935,0.9935,1,1,50,156.25,83.53,0,1,2025-09-30 05:44:05,19.7,96.2,,0,0,,1
2025-09-30 05:44:50,125.76,0.3203,236.97,0.4716,1.415,228.23,242.44,240.26,408.17,417.59,405.69,409.98,1.415,0.0,0.0,0.3203,0.0,0.0,0.0366,0.0366,0,0,0.3229,0.3229,0,0,0.9935,0.9935,1,1,50,156.26,83.53,0,1,2025-09-30 05:44:50,19.9,96.5,,0,0,,1
2025-09-30 05:45:35,125.81,3.9191,236.56,7.2943,21.8831,227.15,243.28,239.25,409.35,416.2,403.7,409.64,7.0553,7.0349,7.7929,1.2761,1.353,1.29,3.3523,0.9651,1.0458,1.3413,5.1785,1.6026,1.7115,1.8645,0.7599,0.7975,0.7912,0.6931,50.1,156.32,83.57,1,1,2025-09-30 05:45:35,19.9,94.1,,1,0,,0
2025-09-30 05:46:20,125.85,3.8744,236.26,7.2336,21.7008,229.58,241.97,237.23,409.56,415.22,402.92,409.24,7.1999,6.8046,7.6963,1.3029,1.275,1.2965,3.3334,1.0128,1.0396,1.2809,5.1253,1.653,1.6465,1.8258,0.758,0.7895,0.775,0.7113,50,156.38,83.61,1,1,2025-09-30 05:46:20,19.6,83.6,,1,0,,0
2025-09-30 05:47:05,125.9,0.3254,237.45,0.4794,1.4383,227.91,245.13,239.31,410.78,419.77,403.41,409.86,1.4383,0.0,0.0,0.3254,0.0,0.0,0.0351,0.0351,0,0,0.3278,0.3278,0,0,0.9942,0.9942,1,1,50,156.44,83.65,0,1,2025-09-30 05:47:05,19.0,78.3,,0,0,,1
2025-09-30 05:47:50,125.9,0.3229,235.74,0.4742,1.4227,228.86,241.74,236.63,408.39,414.86,401.78,408.48,1.4227,0.0,0.0,0.3229,0.0,0.0,0.0367,0.0367,0,0,0.3256,0.3256,0,0,0.9936,0.9936,1,1,50,156.45,83.65,0,1,2025-09-30 05:47:50,18.5,82.8,,0,0,,1
