start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 05:40:45,2025-09-30 05:43:00,0 days 00:02:15,19.8,19.5,19.767,0.13,3.467,19.453,5.611,4.917
2025-09-30 05:57:15,2025-09-30 06:00:15,0 days 00:03:00,19.8,19.0,19.675,0.13,2.6,19.404,7.463,4.905
2025-09-30 06:13:00,2025-09-30 06:15:15,0 days 00:02:15,19.8,19.0,19.7,0.11,2.933,19.417,6.62,4.908
2025-09-30 06:28:29,2025-09-30 06:30:21,0 days 00:01:52,19.8,19.1,19.75,0.1,3.214,19.444,6.049,4.915
2025-09-30 06:42:42,2025-09-30 06:44:57,0 days 00:02:15,19.7,19.5,19.667,0.13,3.467,19.4,5.596,4.904
2025-09-30 06:56:12,2025-09-30 06:58:27,0 days 00:02:15,19.7,19.1,19.667,0.12,3.2,19.4,6.062,4.904
2025-09-30 07:10:27,2025-09-30 07:12:42,0 days 00:02:15,19.7,19.1,19.667,0.11,2.933,19.4,6.613,4.904
2025-09-30 07:24:03,2025-09-30 07:26:39,0 days 00:02:36,19.7,19.0,19.7,0.14,3.231,19.417,6.01,4.908
2025-09-30 07:37:30,2025-09-30 07:39:45,0 days 00:02:15,19.7,19.1,19.667,0.12,3.2,19.4,6.062,4.904
2025-09-30 07:51:23,2025-09-30 07:54:23,0 days 00:03:00,19.7,19.0,19.675,0.14,2.8,19.404,6.93,4.905
2025-09-30 08:07:08,2025-09-30 08:10:08,0 days 00:03:00,19.7,19.0,19.675,0.16,3.2,19.404,6.064,4.905
2025-09-30 08:23:44,2025-09-30 08:25:59,0 days 00:02:15,19.8,19.5,19.75,0.14,3.733,19.444,5.208,4.915
2025-09-30 08:38:42,2025-09-30 08:41:42,0 days 00:03:00,19.8,19.0,19.75,0.15,3.0,19.444,6.481,4.915
2025-09-30 08:54:05,2025-09-30 08:57:05,0 days 00:03:00,19.8,19.0,19.675,0.16,3.2,19.404,6.064,4.905
2025-09-30 09:09:50,2025-09-30 09:12:50,0 days 00:03:00,19.8,19.0,19.675,0.16,3.2,19.404,6.064,4.905
2025-09-30 09:24:05,2025-09-30 09:26:27,0 days 00:02:22,19.8,19.5,19.733,0.17,4.31,19.435,4.509,4.913
2025-09-30 09:38:49,2025-09-30 09:40:40,0 days 00:01:51,19.7,19.1,19.7,0.13,4.216,19.417,4.605,4.908
2025-09-30 09:56:02,2025-09-30 09:59:02,0 days 00:03:00,19.8,19.0,19.675,0.16,3.2,19.404,6.064,4.905
2025-09-30 10:13:17,2025-09-30 10:15:32,0 days 00:02:15,19.8,19.5,19.733,0.15,4.0,19.435,4.859,4.913
2025-09-30 10:29:02,2025-09-30 10:31:23,0 days 00:02:21,19.8,19.0,19.7,0.14,3.574,19.417,5.432,4.908
2025-09-30 10:43:00,2025-09-30 10:45:37,0 days 00:02:37,19.8,19.1,19.7,0.17,3.898,19.417,4.981,4.908
2025-09-30 10:57:59,2025-09-30 11:00:59,0 days 00:03:00,19.8,19.0,19.725,0.17,3.4,19.431,5.715,4.912
