readable_time,Active Energy (kWh),mt_power,mvol,mcurr,tot_curr,mvol_r,mvol_y,mvol_b,mvol_ry,mvol_yb,mvol_br,mvolt_p,Phase Current L1 (A),Phase Current L2 (A),Phase Current L3 (A),L1 Active Power (kW),L2 Active Power (kW),L3 Active Power (kW),mr_power,mrpow_r,mrpow_y,mrpow_b,ma_power,mapow_r,mapow_y,mapow_b,mt_pf,mpf_r,mpf_y,mpf_b,mfreq,ma_energy,mr_energy,con_st,mc_st,temp_time,Temperature (°C),humidity,Door Status,compressor_on,heater_on,door_status,fan_status
2025-09-30 05:30:14,203.74,0.3205,242.29,0.4527,1.3583,240.17,242.81,243.91,419.45,420.12,419.42,419.62,0.0,1.3583,0.0,0.0,0.3205,0.0,0.0717,0,0.0717,0,0.3298,0,0.3298,0,0.9758,1,0.9758,1,50,278.97,175.35,0,1,2025-09-30 05:30:14,19.2,81.6,,0,0,,1
2025-09-30 05:30:59,203.74,0.3198,242.11,0.452,1.3562,239.89,242.67,243.77,418.96,419.69,419.35,419.37,0.0,1.3562,0.0,0.0,0.3198,0.0,0.0714,0,0.0714,0,0.3291,0,0.3291,0,0.9759,1,0.9759,1,50,278.97,175.35,0,1,2025-09-30 05:30:59,19.6,83.1,,0,0,,1
2025-09-30 05:31:44,203.75,0.3194,242,0.4517,1.3553,240.01,242.55,243.45,418.78,419.22,419.45,419.1,0.0,1.3553,0.0,0.0,0.3194,0.0,0.0715,0,0.0715,0,0.3287,0,0.3287,0,0.9758,1,0.9758,1,50,278.98,175.36,0,1,2025-09-30 05:31:44,19.7,84.5,,0,0,,1
2025-09-30 05:32:29,203.75,0.3187,241.37,0.451,1.3532,239.04,242.37,242.7,418.26,418.81,417.09,418.48,0.0,1.3532,0.0,0.0,0.3187,0.0,0.0712,0,0.0712,0,0.328,0,0.328,0,0.9759,1,0.9759,1,50,278.98,175.36,0,1,2025-09-30 05:32:29,19.7,85.4,,0,0,,1
2025-09-30 05:33:14,203.76,0.3173,241.18,0.4502,1.3506,239.08,241.64,242.82,417.69,417.95,417.53,417.7,0.0,1.3506,0.0,0.0,0.3173,0.0,0.0703,0,0.0703,0,0.3264,0,0.3264,0,0.9763,1,0.9763,1,50,278.99,175.36,0,1,2025-09-30 05:33:14,19.8,86.3,,0,0,,1
2025-09-30 05:33:59,203.76,0.3169,241.04,0.4499,1.3497,238.94,241.52,242.67,417.61,417.72,417.13,417.49,0.0,1.3497,0.0,0.0,0.3169,0.0,0.0704,0,0.0704,0,0.326,0,0.326,0,0.9762,1,0.9762,1,50,278.99,175.36,0,1,2025-09-30 05:33:59,19.8,87.1,,0,0,,1
2025-09-30 05:34:44,203.76,0.3174,241.44,0.4501,1.3505,239.62,241.72,243,417.99,418.54,418.03,418.22,0.0,1.3505,0.0,0.0,0.3174,0.0,0.0705,0,0.0705,0,0.3264,0,0.3264,0,0.9762,1,0.9762,1,50,278.99,175.36,0,1,2025-09-30 05:34:44,19.9,87.8,,0,0,,1
2025-09-30 05:35:29,203.77,0.3176,241.39,0.4502,1.3506,239.44,241.87,242.88,418.26,418.29,417.74,418.07,0.0,1.3506,0.0,0.0,0.3176,0.0,0.0705,0,0.0705,0,0.3267,0,0.3267,0,0.9762,1,0.9762,1,50,279,175.36,0,1,2025-09-30 05:35:29,19.9,88.4,,0,0,,1
2025-09-30 05:36:14,203.77,0.3173,241.3,0.4501,1.3504,239.38,241.75,242.78,417.78,418.38,417.66,417.97,0.0,1.3504,0.0,0.0,0.3173,0.0,0.0709,0,0.0709,0,0.3265,0,0.3265,0,0.9759,1,0.9759,1,50,279,175.36,0,1,2025-09-30 05:36:14,19.9,88.9,,0,0,,1
2025-09-30 05:36:59,203.78,0.3167,241.07,0.4497,1.3492,239.19,241.47,242.56,417.4,417.76,417.46,417.58,0.0,1.3492,0.0,0.0,0.3167,0.0,0.0705,0,0.0705,0,0.3258,0,0.3258,0,0.9761,1,0.9761,1,50,279.01,175.36,0,1,2025-09-30 05:36:59,20.0,89.4,,0,0,,1
