start_time,end_time,duration,start_temp,end_temp,avg_room_temp,energy_consumed_kwh,calculated_power_kw,avg_cooling_kw,actual_cop,rated_cop
2025-09-30 14:05:43,2025-09-30 14:07:58,0 days 00:02:15,19.1,18.8,19.05,0.11,2.933,19.072,6.502,4.827
2025-09-30 14:24:28,2025-09-30 14:26:43,0 days 00:02:15,19.1,18.8,19.0,0.12,3.2,19.045,5.952,4.82
2025-09-30 14:43:13,2025-09-30 14:45:35,0 days 00:02:22,19.5,18.8,19.133,0.13,3.296,19.116,5.8,4.837
2025-09-30 14:55:42,2025-09-30 14:57:12,0 days 00:01:30,19.0,18.8,18.95,0.1,4.0,19.019,4.755,4.814
2025-09-30 15:15:11,2025-09-30 15:17:26,0 days 00:02:15,19.1,18.8,19.0,0.12,3.2,19.045,5.952,4.82
2025-09-30 15:33:56,2025-09-30 15:36:11,0 days 00:02:15,19.1,18.9,19.1,0.14,3.733,19.098,5.116,4.833
2025-09-30 15:52:48,2025-09-30 15:54:39,0 days 00:01:51,19.1,18.8,19.05,0.11,3.568,19.072,5.346,4.827
2025-09-30 16:09:38,2025-09-30 16:11:53,0 days 00:02:15,19.0,18.8,19.0,0.11,2.933,19.045,6.493,4.82
2025-09-30 16:29:53,2025-09-30 16:30:38,0 days 00:00:45,19.0,18.9,19.0,0.05,4.0,19.045,4.761,4.82
2025-09-30 16:46:23,2025-09-30 16:47:53,0 days 00:01:30,19.0,18.8,18.95,0.08,3.2,19.019,5.943,4.814
2025-09-30 17:01:51,2025-09-30 17:04:06,0 days 00:02:15,19.0,18.9,19.0,0.12,3.2,19.045,5.952,4.82
2025-09-30 17:15:21,2025-09-30 17:17:36,0 days 00:02:15,19.0,18.8,18.967,0.13,3.467,19.028,5.489,4.816
2025-09-30 17:32:36,2025-09-30 17:34:51,0 days 00:02:15,19.1,18.8,19.0,0.1,2.667,19.045,7.142,4.82
2025-09-30 17:50:36,2025-09-30 17:52:51,0 days 00:02:15,19.5,18.8,19.133,0.11,2.933,19.116,6.517,4.837
2025-09-30 18:06:49,2025-09-30 18:08:41,0 days 00:01:52,19.0,18.8,19.0,0.09,2.893,19.045,6.584,4.82
2025-09-30 18:24:48,2025-09-30 18:27:03,0 days 00:02:15,19.1,18.8,19.0,0.12,3.2,19.045,5.952,4.82
2025-09-30 18:42:48,2025-09-30 18:45:03,0 days 00:02:15,19.1,18.8,19.0,0.12,3.2,19.045,5.952,4.82
2025-09-30 19:00:55,2025-09-30 19:02:25,0 days 00:01:30,19.1,18.9,19.05,0.09,3.6,19.072,5.298,4.827
2025-09-30 19:17:24,2025-09-30 19:19:16,0 days 00:01:52,19.0,18.8,19.0,0.09,2.893,19.045,6.584,4.82
2025-09-30 19:35:46,2025-09-30 19:37:16,0 days 00:01:30,19.1,18.9,19.05,0.09,3.6,19.072,5.298,4.827
